,hs_code,suffix,description
0,85.01,,電動機及び発電機（原動機とセットにした発電機を除く。）
1,8501.10,,電動機（出力が37.5ワット以下のものに限る。）
2,,,− 直流電動機
3,,011,−− 出力が10ワット以下のもの
4,,019,−− 出力が10ワットを超え37.5ワット以下のもの
5,,020,− 単相交流電動機
6,,090,− その他のもの
7,8501.20,000,交直両用電動機（出力が37.5ワットを超えるものに限る。）
8,,,その他の直流電動機及び直流発電機（光発電機を除く。）
9,8501.31,000,出力が750ワット以下のもの
10,8501.32,000,出力が750ワットを超え75キロワット以下のもの
11,8501.33,000,出力が75キロワットを超え375キロワット以下のもの
12,8501.34,000,出力が375キロワットを超えるもの
13,8501.40,000,その他の単相交流電動機
14,,,その他の多相交流電動機
15,8501.51,000,出力が750ワット以下のもの
16,8501.52,000,出力が750ワットを超え75キロワット以下のもの
17,8501.53,000,出力が75キロワットを超えるもの
18,,,交流発電機（光発電機を除く。）
19,8501.61,000,出力が75キロボルトアンペア以下のもの
20,8501.62,000,出力が75キロボルトアンペアを超え375キロボルトアンペア以下のもの
21,8501.63,000,出力が375キロボルトアンペアを超え750キロボルトアンペア以下のもの
22,8501.64,000,出力が750キロボルトアンペアを超えるもの
23,,,直流光発電機
24,8501.71,000,出力が50ワット以下のもの
25,8501.72,000,出力が50ワットを超えるもの
26,8501.80,000,交流光発電機
27,85.02,,発電機（原動機とセットにしたものに限る。）及びロータリーコンバーター
28,,,発電機（ピストン式圧縮点火内燃機関（ディーゼルエンジン及びセミディーゼルエンジン）とセットにしたものに限る。）
29,8502.11,000,出力が75キロボルトアンペア以下のもの
30,8502.12,000,出力が75キロボルトアンペアを超え375キロボルトアンペア以下のもの
31,8502.13,000,出力が375キロボルトアンペアを超えるもの
32,8502.20,000,発電機（ピストン式火花点火内燃機関とセットにしたものに限る。）
33,,,発電機（その他の原動機とセットにしたものに限る。）
34,8502.31,000,風力式のもの
35,8502.39,000,その他のもの
36,8502.40,000,ロータリーコンバーター
37,85.03,,
38,8503.00,000,第85.01項又は第85.02項の機械に専ら又は主として使用する部分品
39,85.04,,トランスフォーマー、スタティックコンバーター（例えば、整流器）及びインダクター
40,8504.10,000,放電管用安定器
41,,,トランスフォーマー（絶縁性の液体を使用するものに限る。）
42,8504.21,,容量が650キロボルトアンペア以下のもの
43,,010,− 容量が100キロボルトアンペア以下のもの
44,,020,− 容量が100キロボルトアンペアを超え200キロボルトアンペア未満のもの
45,,090,− その他のもの
46,8504.22,000,"容量が650キロボルトアンペアを超え10,000キロボルトアンペア以下のもの"
47,8504.23,000,"容量が10,000キロボルトアンペアを超えるもの"
48,,,その他のトランスフォーマー
49,8504.31,000,容量が1キロボルトアンペア以下のもの
