,hs_code,suffix,description
0,79.01,,亜鉛の塊
1,,,亜鉛（合金を除く。）
2,7901.11,,亜鉛の含有量が全重量の99.99％以上のもの
3,,010,1 課税価格が1キログラムにつき242円以下のもの
4,,020,2 課税価格が1キログラムにつき242円を超え250円以下のもの
5,,030,3 課税価格が1キログラムにつき250円を超えるもの
6,7901.12,,亜鉛の含有量が全重量の99.99％未満のもの
7,,010,1 課税価格が1キログラムにつき242円以下のもの
8,,020,2 課税価格が1キログラムにつき242円を超え250円以下のもの
9,,030,3 課税価格が1キログラムにつき250円を超えるもの
10,7901.20,,亜鉛合金
11,,010,1 アルミニウムの含有量が全重量の3％を超えるもの
12,,,2 その他のもの
13,,021,(1)亜鉛の含有量が全重量の95％以上のもの
14,,029,(2)その他のもの
15,79.02,,
16,7902.00,000,亜鉛のくず
17,79.03,,亜鉛のダスト、粉及びフレーク
18,7903.10,000,亜鉛のダスト
19,7903.90,000,その他のもの
20,79.04,,
21,7904.00,000,亜鉛の棒、形材及び線
22,79.05,,
23,7905.00,000,亜鉛の板、シート、ストリップ及びはく
24,79.07,,
25,7907.00,,その他の亜鉛製品
26,,100,1 亜鉛製の管及び管用継手（例えば、カップリング、エルボー及びスリーブ）
27,,900,2 その他のもの
