,hs_code,suffix,description
0,75.01,,ニッケルのマット、焼結した酸化ニッケルその他ニッケル製錬の中間生産物
1,7501.10,000,ニッケルのマット
2,7501.20,,焼結した酸化ニッケルその他ニッケル製錬の中間生産物
3,,100,1 焼結した酸化ニッケル（ニッケルの含有量が全重量の88％以上のものに限る。）
4,,,2 その他のもの
5,,210,(1)酸化ニッケル（銅の含有量が全重量の1.5％以下のものに限る。）
6,,290,(2)その他のもの
7,75.02,,ニッケルの塊
8,7502.10,000,ニッケル（合金を除く。）
9,7502.20,,ニッケル合金
10,,010,1 ニッケルの含有量が全重量の50％未満のもので、コバルトの含有量が全重量の10％以上のもの
11,,090,2 その他のもの
12,75.03,,
13,7503.00,000,ニッケルのくず
14,75.04,,
15,7504.00,,ニッケルの粉及びフレーク
16,,100,1 真空管用ゲッター、アルカリ蓄電池又は溶接用フラックスの製造に使用するもの及び粉末冶金に使用するもの
17,,,2 その他のもの
18,,210,(1)ニッケル（合金を除く。）のもの
19,,220,(2)その他のもの
20,75.05,,ニッケルの棒、形材及び線
21,,,棒及び形材
22,7505.11,000,ニッケル（合金を除く。）のもの
23,7505.12,000,ニッケル合金のもの
24,,,線
25,7505.21,000,ニッケル（合金を除く。）のもの
26,7505.22,000,ニッケル合金のもの
27,75.06,,ニッケルの板、シート、ストリップ及びはく
28,7506.10,,ニッケル（合金を除く。）のもの
29,,100,1 真空管用ゲッター又はアルカリ蓄電池の製造に使用するもの
30,,200,2 その他のもの
31,7506.20,000,ニッケル合金のもの
32,75.07,,ニッケル製の管及び管用継手（例えば、カップリング、エルボー及びスリーブ）
33,,,管
34,7507.11,000,ニッケル（合金を除く。）のもの
35,7507.12,000,ニッケル合金のもの
36,7507.20,000,管用継手
37,75.08,,その他のニッケル製品
38,7508.10,000,ワイヤクロス、ワイヤグリル及び網（ニッケルの線から製造したものに限る。）
39,7508.90,000,その他のもの
