,hs_code,suffix,description
0,10.01,,小麦及びメスリン
1,,,デュラム小麦
2,1001.11,,播種用のもの
3,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
4,,090,− その他のもの
5,1001.19,,その他のもの
6,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
7,,090,− その他のもの
8,,,その他のもの
9,1001.91,,播種用のもの
10,,,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
11,,011,−− メスリン
12,,019,−− その他のもの
13,,,− その他のもの
14,,091,−− メスリン
15,,099,−− その他のもの
16,1001.99,,その他のもの
17,,,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
18,,011,−− メスリン
19,,,−− その他のもの
20,,016,−−− 飼料用のもの
21,,019,−−− その他のもの
22,,,− その他のもの
23,,091,−− メスリン
24,,,−− その他のもの
25,,096,−−− 飼料用のもの
26,,099,−−− その他のもの
27,10.02,,ライ麦
28,1002.10,,播種用のもの
29,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
30,,020,2 その他のもの
31,1002.90,,その他のもの
32,,010,− 飼料用のもの
33,,090,− その他のもの
34,10.03,,大麦及び裸麦
35,1003.10,,播種用のもの
36,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
37,,090,− その他のもの
38,1003.90,,その他のもの
39,,,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
40,,011,−− 飼料用のもの
41,,019,−− その他のもの
42,,,− その他のもの
43,,091,−− 飼料用のもの
44,,099,−− その他のもの
45,10.04,,オート
46,1004.10,,播種用のもの
47,,010,− 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
48,,090,− その他のもの
49,1004.90,000,その他のもの
50,10.05,,とうもろこし
51,1005.10,,播種用のもの
52,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
53,,020,2 その他のもの
54,1005.90,,その他のもの
55,,020,1 爆裂種のもの（通常の気圧の下で加熱により爆裂するものに限る。）
56,,,2 その他のもの
57,,010,− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
58,,,− 関税定率法第13条第1項の規定の適用を受けないもの
59,,,−− 当該年度における国内需要見込数量から国内生産見込数量を控除した数量を基準とし、国際市況その他の条件を勘案して政令で定める数量以内のもの
60,,091,−−− コーンスターチの製造に使用するもの
61,,095,−−− 政令で定めるところにより飼料用に供するもの
62,,092,−−− コーンフレーク、エチルアルコール又は蒸留酒の製造に使用するもの
63,,096,−−− その他のもの
64,,099,−− その他のもの
65,10.06,,米
66,1006.10,,もみ
67,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの、同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの並びに同法第49条第1項の規定により政府が貸付けを行った米穀（これに準ずるものとして政令で定めるものを含む。）の返還に係るもので輸入されるもの
68,,090,− その他のもの
69,1006.20,,玄米
70,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの、同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの並びに同法第49条第1項の規定により政府が貸付けを行った米穀（これに準ずるものとして政令で定めるものを含む。）の返還に係るもので輸入されるもの
71,,090,− その他のもの
72,1006.30,,精米（研磨してあるかないか又はつや出ししてあるかないかを問わない。）
73,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの、同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの並びに同法第49条第1項の規定により政府が貸付けを行った米穀（これに準ずるものとして政令で定めるものを含む。）の返還に係るもので輸入されるもの
74,,090,− その他のもの
75,1006.40,,砕米
76,,010,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの、同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの並びに同法第49条第1項の規定により政府が貸付けを行った米穀（これに準ずるものとして政令で定めるものを含む。）の返還に係るもので輸入されるもの
77,,090,− その他のもの
78,10.07,,グレーンソルガム
79,1007.10,,播種用のもの
80,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
81,,020,2 その他のもの
82,1007.90,,その他のもの
83,,010,− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
84,,090,− その他のもの
85,10.08,,そば、ミレット及びカナリーシード並びにその他の穀物
86,1008.10,,そば
87,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
88,,090,2 その他のもの
89,,,ミレット
90,1008.21,000,播種用のもの
91,1008.29,000,その他のもの
92,1008.30,000,カナリーシード
93,1008.40,,フォニオ（ディギタリア属のもの）
94,,100,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
95,,200,2 その他のもの
96,1008.50,,キヌア（ケノポディウム・クイノア）
97,,100,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
98,,200,2 その他のもの
99,1008.60,,ライ小麦
100,,100,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
101,,,2 その他のもの
102,,210,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
103,,290,− その他のもの
104,1008.90,,その他の穀物
105,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
106,,090,2 その他のもの
