,hs_code,suffix,description
0,20.01,,食酢又は酢酸により調製し又は保存に適する処理をした野菜、果実、ナットその他植物の食用の部分
1,2001.10,,きゆうり及びガーキン
2,,100,1 砂糖を加えたもの
3,,200,2 その他のもの
4,2001.90,,その他のもの
5,,,1 砂糖を加えたもの
6,,110,(1)パパイヤ、ポポー、アボカドー、グアバ、ドリアン、ビリンビ、チャンペダ、ナンカ、パンの実、ランブータン、ジャンボ、レンブ、サポテ、チェリモア、サントル、シュガーアップル、カスターアップル、パッションフルーツ、ランソム、サワーサップ、レイシ、マンゴー及びマンゴスチン
7,,120,(2)スイートコーン
8,,130,(3)ヤングコーンコブ
9,,140,(4)その他のもの
10,,,2 その他のもの
11,,210,(1)パパイヤ、ポポー、アボカドー、グアバ、ドリアン、ビリンビ、チャンペダ、ナンカ、パンの実、ランブータン、ジャンボ、レンブ、サポテ、チェリモア、サントル、シュガーアップル、カスターアップル、パッションフルーツ、ランソム、サワーサップ及びレイシ
12,,220,(2)マンゴー及びマンゴスチン
13,,230,(3)スイートコーン
14,,240,(4)ヤングコーンコブ
15,,,(5)その他のもの
16,,250,− しようが
17,,290,− その他のもの
18,20.02,,調製し又は保存に適する処理をしたトマト（食酢又は酢酸により調製し又は保存に適する処理をしたものを除く。）
19,2002.10,000,トマト（全形のもの及び断片状のものに限る。）
20,2002.90,,その他のもの
21,,100,1 砂糖を加えたもの
22,,,2 その他のもの
23,,,(1)トマトピューレー及びトマトペースト
24,,,"− 気密容器入りのもの
注:保税工場において輸出用の魚又は貝類の缶詰の製造に使用し、かつ、積み戻したものは、関税法により輸入貨物とせず、関税を課さない。"
25,,211,−− トマトケチャップその他のトマトソースの製造に使用するものについて、当該年度における国内需要見込数量から国内生産見込数量を控除した数量を基準とし、国際市況その他の条件を勘案して政令で定める数量以内のもの
26,,219,−− その他のもの
27,,,− その他のもの
28,,221,−− トマトケチャップその他のトマトソースの製造に使用するものについて、当該年度における国内需要見込数量から国内生産見込数量を控除した数量を基準とし、国際市況その他の条件を勘案して政令で定める数量以内のもの
29,,229,−− その他のもの
30,,290,(2)その他のもの
31,20.03,,調製し又は保存に適する処理をしたきのこ及びトリフ（食酢又は酢酸により調製し又は保存に適する処理をしたものを除く。）
32,2003.10,,きのこ（はらたけ属のもの）
33,,100,1 砂糖を加えたもの
34,,,2 その他のもの
35,,,(1)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
36,,211,− フレンチマッシュルーム
37,,219,− その他のもの
38,,220,(2)その他のもの
39,2003.90,,その他のもの
40,,,1 トリフ
41,,010,(1)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
42,,020,(2)その他のもの
43,,,2 その他のもの
44,,100,(1)砂糖を加えたもの
45,,,(2)その他のもの
46,,210,A 気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
47,,220,B その他のもの
48,20.04,,調製し又は保存に適する処理をしたその他の野菜（冷凍したものに限るものとし、食酢又は酢酸により調製し又は保存に適する処理をしたもの及び第20.06項の物品を除く。）
49,2004.10,,ばれいしよ
50,,100,1 単に加熱による調理をしたもの
51,,,2 その他のもの
52,,210,(1)マッシュポテト
53,,220,(2)その他のもの
54,2004.90,,その他の野菜及び野菜を混合したもの
55,,,1 砂糖を加えたもの
56,,110,(1)スイートコーン
57,,120,(2)その他のもの
58,,,2 その他のもの
59,,,(1)アスパラガス及び豆
60,,211,− アスパラガス
61,,212,− 豆
62,,220,(2)たけのこ
63,,230,(3)スイートコーン
64,,,(4)ヤングコーンコブ
65,,240,− 気密容器入りのもの
66,,291,− その他のもの
67,,299,(5)その他のもの
68,20.05,,調製し又は保存に適する処理をしたその他の野菜（冷凍してないものに限るものとし、食酢又は酢酸により調製し又は保存に適する処理をしたもの及び第20.06項の物品を除く。）
69,2005.10,,均質調製野菜
70,,100,1 砂糖を加えたもの
71,,200,2 その他のもの
72,2005.20,,ばれいしよ
73,,100,1 マッシュポテト及びポテトフレーク
74,,,2 その他のもの
75,,210,(1)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
76,,220,(2)その他のもの
77,2005.40,,えんどう（ピスム・サティヴム）
78,,,1 砂糖を加えたもの
79,,110,(1)さや付きのもの
80,,,(2)その他のもの
81,,191,− しよ糖の含有量が乾燥状態において全重量の50％以上のもの
82,,199,− その他のもの
83,,,2 その他のもの
84,,,(1)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
85,,211,A さや付きのもの
86,,212,B その他のもの
87,,,(2)その他のもの
88,,221,A さや付きのもの
89,,222,B その他のもの
90,,,ささげ属又はいんげんまめ属の豆
91,2005.51,,さやを除いた豆
92,,,1 砂糖を加えたもの
93,,110,(1)気密容器入りのもの（豚の肉又はラードその他の豚脂及びトマトピューレーその他のトマトの調製品を含むものに限る。）
94,,,(2)その他のもの
95,,191,− しよ糖の含有量が乾燥状態において全重量の50％以上のもの
96,,199,− その他のもの
97,,200,2 その他のもの
98,2005.59,,その他のもの
99,,100,1 砂糖を加えたもの
100,,,2 その他のもの
101,,210,(1)気密容器入りのもの（容器ともの1個の重量が10キログラム以下のものに限る。）
102,,220,(2)その他のもの
103,2005.60,,アスパラガス
