,hs_code,suffix,description
0,14.01,,主として組物に使用する植物性材料（例えば、穀物のわらで清浄にし、漂白し又は染色したもの、竹、とう、あし、いぐさ、オージア、ラフィア及びライム樹皮）
1,1401.10,000,竹
2,1401.20,000,とう
3,1401.90,,その他のもの
4,,100,1 いぐさ、七島い（キュペルス・テゲティフォルミス）及び莞草（キュペルス・エクサルタトゥス）
5,,,2 その他のもの
6,,210,(1)くずのつる
7,,290,(2)その他のもの
8,14.04,,植物性生産品（他の項に該当するものを除く。）
9,1404.20,000,コットンリンター
10,1404.90,,その他のもの
11,,,1 主として詰物として使用する植物性材料（支持物を使用することなく又は支持物を使用して層状にしてあるかないかを問わない。）、主としてほうき又はブラシに使用する植物性材料（束ねてあるかないかを問わない。）、主として染色用又はなめし用に供する植物性原材料、除虫菊かす、雁皮並びにナット（殻を含むものとし、粉砕してあるかないかを問わない。）及び種
12,,110,− 主として詰物として使用する植物性材料（例えば、カポック、ベジタブルヘア及びイールグラス。支持物を使用することなく又は支持物を使用して層状にしてあるかないかを問わない。）
13,,120,− 主としてほうき又はブラシに使用する植物性材料（例えば、ほうきもろこし、ピアッサバ、カウチグラス及びメキシカンファイバー。束ねてあるかないかを問わない。）
14,,130,− 主として染色用又はなめし用に供する植物性原材料
15,,140,− 除虫菊かす
16,,200,− 雁皮並びにナット（殻を含むものとし、粉砕してあるかないかを問わない。）及び種
17,,300,2 たぶの木又はへちまのもの
18,,410,3 水ごけ
19,,,4 その他のもの
20,,,− かしわの葉及びさるとりいばらの葉
21,,491,−− かしわの葉
22,,492,−− さるとりいばらの葉
23,,499,− その他のもの
