,hs_code,suffix,description
0,78.01,,鉛の塊
1,7801.10,,精製鉛
2,,010,1 課税価格が1キログラムにつき172円以下のもの
3,,020,2 課税価格が1キログラムにつき172円を超え180円以下のもの
4,,030,3 課税価格が1キログラムにつき180円を超えるもの
5,,,その他のもの
6,7801.91,,含有する鉛以外の元素のうち重量においてアンチモンが主なもの
7,,,1 電解精製用のもの（鉛の含有量が全重量の95％を超えるものに限る。）
8,,010,(1) 課税価格が1キログラムにつき165円37銭以下のもの
9,,020,(2) 課税価格が1キログラムにつき165円37銭を超え170円以下のもの
10,,030,(3) 課税価格が1キログラムにつき170円を超えるもの
11,,040,2 その他のもの
12,7801.99,,その他のもの
13,,100,1 鉛合金のもの
14,,,2 その他のもの
15,,,(1)電解精製用のもの（鉛の含有量が全重量の95％を超えるものに限る。）
16,,211,A 課税価格が1キログラムにつき165円37銭以下のもの
17,,212,B 課税価格が1キログラムにつき165円37銭を超え170円以下のもの
18,,219,C 課税価格が1キログラムにつき170円を超えるもの
19,,,(2)その他のもの
20,,221,A 課税価格が1キログラムにつき172円以下のもの
21,,222,B 課税価格が1キログラムにつき172円を超え180円以下のもの
22,,223,C 課税価格が1キログラムにつき180円を超えるもの
23,78.02,,
24,7802.00,000,鉛のくず
25,78.04,,鉛の板、シート、ストリップ、はく、粉及びフレーク
26,,,板、シート、ストリップ及びはく
27,7804.11,000,シート、ストリップ及びはく（厚さ（補強材の厚さを除く。）が0.2ミリメートル以下のものに限る。）
28,7804.19,000,その他のもの
29,7804.20,000,粉及びフレーク
30,78.06,,
31,7806.00,,その他の鉛製品
32,,100,1 鉛製の管及び管用継手（例えば、カップリング、エルボー及びスリーブ）
33,,900,2 その他のもの
