,hs_code,suffix,description
0,89.01,,客船、遊覧船、フェリーボート、貨物船、はしけその他これらに類する船舶（人員又は貨物の輸送用のものに限る。）
1,8901.10,000,客船、遊覧船その他これらに類する船舶（主として人員の輸送用に設計したものに限る。）及びフェリーボート
2,8901.20,000,タンカー
3,8901.30,000,冷蔵船及び冷凍船（第8901.20号のものを除く。）
4,8901.90,000,その他の貨物船及び貨客船
5,89.02,,
6,8902.00,000,漁船及び工船その他漁獲物の加工用又は保存用の船舶
7,89.03,,ヨットその他の娯楽用又はスポーツ用の船舶、櫓櫂船及びカヌー
8,,,膨張式のボート（複合艇を含む。）
9,8903.11,000,原動機を除いた自重が100キログラム以下のもの（原動機付きのもの及び原動機を取り付けるように設計したものに限る。）
10,8903.12,000,原動機を除いた自重が100キログラム以下のもの（原動機とともに使用するように設計されていないものに限る。）
11,8903.19,000,その他のもの
12,,,セールボート（補助原動機付きであるかないかを問わないものとし、膨張式のものを除く。）
13,8903.21,000,長さが7.5メートル以下のもの
14,8903.22,000,長さが7.5メートルを超え24メートル以下のもの
15,8903.23,000,長さが24メートルを超えるもの
16,,,モーターボート（船外機付きのもの及び膨張式のものを除く。）
17,8903.31,000,長さが7.5メートル以下のもの
18,8903.32,000,長さが7.5メートルを超え24メートル以下のもの
19,8903.33,000,長さが24メートルを超えるもの
20,,,その他のもの
21,8903.93,000,長さが7.5メートル以下のもの
22,8903.99,000,その他のもの
23,89.04,,
24,8904.00,000,曳航用又は押航用の船舶
25,89.05,,照明船、消防船、しゆんせつ船、クレーン船その他の船舶（航行以外の機能を主とするものに限る。）、浮きドック及び浮遊式又は潜水式の掘削用又は生産用のプラットホーム
26,8905.10,000,しゆんせつ船
27,8905.20,000,浮遊式又は潜水式の掘削用又は生産用のプラットホーム
28,8905.90,000,その他のもの
29,89.06,,その他の船舶（軍艦及び救命艇を含むものとし、櫓櫂船を除く。）
30,8906.10,000,軍艦
31,8906.90,,その他のもの
32,,010,− 総トン数が100トン未満のもの
33,,090,− その他のもの
34,89.07,,その他の浮き構造物（例えば、いかだ、タンク、コファダム、浮き桟橋、ブイ及び水路浮標）
35,8907.10,000,膨脹式いかだ
36,8907.90,000,その他のもの
37,89.08,,
38,8908.00,000,解体用の船舶その他の浮き構造物
