,hs_code,suffix,description
0,51.01,,羊毛（カードし又はコームしたものを除く。）
1,,,脂付きのもの（フリースウォッシュしたものを含む。）
2,5101.11,000,剪毛したもの
3,5101.19,000,その他のもの
4,,,脂を除いたもの（化炭処理をしてないものに限る。）
5,5101.21,000,剪毛したもの
6,5101.29,000,その他のもの
7,5101.30,000,化炭処理をしたもの
8,51.02,,繊獣毛及び粗獣毛（カードし又はコームしたものを除く。）
9,,,繊獣毛
10,5102.11,000,カシミヤやぎのもの
11,5102.19,000,その他のもの
12,5102.20,000,粗獣毛
13,51.03,,羊毛、繊獣毛又は粗獣毛のくず（糸くずを含むものとし、反毛した繊維を除く。）
14,5103.10,,羊毛又は繊獣毛のノイル
15,,010,− 羊毛のもの
16,,090,− その他のもの
17,5103.20,000,羊毛又は繊獣毛のその他のくず
18,5103.30,000,粗獣毛のくず
19,51.04,,
20,5104.00,000,羊毛、繊獣毛又は粗獣毛のくず（反毛した繊維に限る。）
21,51.05,,羊毛、繊獣毛及び粗獣毛（カードし又はコームしたもの（小塊状のコームした羊毛を含む。）に限る。）
22,5105.10,000,羊毛（カードしたものに限る。）
23,,,羊毛のトップその他の羊毛（コームしたものに限る。）
24,5105.21,000,小塊状のもの（コームしたものに限る。）
25,5105.29,000,その他のもの
26,,,繊獣毛（カードし又はコームしたものに限る。）
27,5105.31,000,カシミヤやぎのもの
28,5105.39,000,その他のもの
29,5105.40,000,粗獣毛（カードし又はコームしたものに限る。）
30,51.06,,紡毛糸（羊毛製のものに限るものとし、小売用にしたものを除く。）
31,5106.10,,羊毛の重量が全重量の85％以上のもの
32,,010,− より数が1メートルにつき350以下のもの
33,,090,− その他のもの
34,5106.20,,羊毛の重量が全重量の85％未満のもの
35,,010,− より数が1メートルにつき350以下のもの
36,,090,− その他のもの
37,51.07,,梳毛糸（羊毛製のものに限るものとし、小売用にしたものを除く。）
38,5107.10,,羊毛の重量が全重量の85％以上のもの
39,,010,− メートル式番手40以上のもので、かつ、より数が1メートルにつき400以下のもの及びメートル式番手40未満のもので、かつ、より数が1メートルにつき350以下のもの
40,,090,− その他のもの
41,5107.20,,羊毛の重量が全重量の85％未満のもの
42,,010,− メートル式番手40以上のもので、かつ、より数が1メートルにつき400以下のもの及びメートル式番手40未満のもので、かつ、より数が1メートルにつき350以下のもの
43,,090,− その他のもの
44,51.08,,紡毛糸及び梳毛糸（繊獣毛製のものに限るものとし、小売用にしたものを除く。）
45,5108.10,000,紡毛糸
46,5108.20,000,梳毛糸
47,51.09,,羊毛製又は繊獣毛製の糸（小売用にしたものに限る。）
48,5109.10,,羊毛又は繊獣毛の重量が全重量の85％以上のもの
49,,,1 1個の重量が125グラム以下のもの
50,,011,− 紡毛糸
51,,019,− 梳毛糸
52,,,2 その他のもの
53,,021,− 紡毛糸
54,,022,− 梳毛糸
55,5109.90,,その他のもの
56,,,1 1個の重量が125グラム以下のもの
57,,011,− 紡毛糸
58,,019,− 梳毛糸
59,,,2 その他のもの
60,,021,− 紡毛糸
61,,022,− 梳毛糸
62,51.10,,
63,5110.00,000,粗獣毛製又は馬毛製の糸（馬毛をしん糸に使用したジンプヤーンを含むものとし、小売用にしたものであるかないかを問わない。）
64,51.11,,紡毛織物（羊毛製又は繊獣毛製のものに限る。）
65,,,羊毛又は繊獣毛の重量が全重量の85％以上のもの
66,5111.11,,重量が1平方メートルにつき300グラム以下のもの
67,,010,1 絹の重量が全重量の10％を超えるもの
68,,,2 その他のもの
69,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
70,,022,(2)その他のもの
71,5111.19,,その他のもの
72,,010,1 絹の重量が全重量の10％を超えるもの
73,,020,2 その他のもの
74,5111.20,,その他のもの（混用繊維の全部又は大部分が人造繊維の長繊維のものに限る。）
75,,010,1 絹の重量が全重量の10％を超えるもの
76,,,2 その他のもの
77,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
78,,022,(2)その他のもの
79,5111.30,,その他のもの（混用繊維の全部又は大部分が人造繊維の短繊維のものに限る。）
80,,010,1 絹の重量が全重量の10％を超えるもの
81,,,2 その他のもの
82,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
83,,022,(2)その他のもの
84,5111.90,,その他のもの
85,,010,1 絹の重量が全重量の10％を超えるもの
86,,,2 その他のもの
87,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
88,,022,(2)その他のもの
89,51.12,,梳毛織物（羊毛製又は繊獣毛製のものに限る。）
90,,,羊毛又は繊獣毛の重量が全重量の85％以上のもの
91,5112.11,,重量が1平方メートルにつき200グラム以下のもの
92,,010,1 絹の重量が全重量の10％を超えるもの
93,,020,2 その他のもの
94,5112.19,,その他のもの
95,,010,1 絹の重量が全重量の10％を超えるもの
96,,020,2 その他のもの
97,5112.20,,その他のもの（混用繊維の全部又は大部分が人造繊維の長繊維のものに限る。）
98,,010,1 絹の重量が全重量の10％を超えるもの
99,,,2 その他のもの
100,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
101,,022,(2)その他のもの
102,5112.30,,その他のもの（混用繊維の全部又は大部分が人造繊維の短繊維のものに限る。）
103,,010,1 絹の重量が全重量の10％を超えるもの
104,,,2 その他のもの
105,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
106,,022,(2)その他のもの
107,5112.90,,その他のもの
108,,010,1 絹の重量が全重量の10％を超えるもの
109,,,2 その他のもの
110,,021,(1)重量が1平方メートルにつき200グラムを超えるもの
111,,022,(2)その他のもの
112,51.13,,
113,5113.00,000,毛織物（粗獣毛製又は馬毛製のものに限る。）
