,hs_code,suffix,description
0,58.01,,パイル織物及びシェニール織物（第58.02項又は第58.06項の織物類を除く。）
1,5801.10,,羊毛製又は繊獣毛製のもの
2,,010,− 絹の重量が全重量の10％を超えるもの
3,,090,− その他のもの
4,,,綿製のもの
5,5801.21,,よこパイル織物（パイルを切つてないものに限る。）
6,,010,1 プラスチック、ゴムその他の物質を染み込ませ、塗布し、被覆し又は積層したもの
7,,,2 その他のもの
8,,110,− 経緯糸のうちいずれか一方が亜麻、ラミー、合成繊維又はアセテート繊維のもの
9,,120,− 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの（経緯糸のうちいずれか一方が亜麻、ラミー、合成繊維又はアセテート繊維のものを除く。）
10,,150,− その他のもの
11,5801.22,,コール天（パイルを切つたものに限る。）
12,,010,1 プラスチック、ゴムその他の物質を染み込ませ、塗布し、被覆し又は積層したもの
13,,020,2 その他のもの
14,5801.23,,その他のよこパイル織物
15,,010,1 プラスチック、ゴムその他の物質を染み込ませ、塗布し、被覆し又は積層したもの
16,,020,2 その他のもの
17,5801.26,,シェニール織物
18,,110,1 政令で定める難燃性を有するもの（幅が142センチメートル以上のものに限る。）
19,,,2 その他のもの
20,,210,(1)プラスチック、ゴムその他の物質を染み込ませ、塗布し、被覆し又は積層したもの
21,,220,(2)その他のもの
22,5801.27,,たてパイル織物
23,,,1 プラスチック、ゴムその他の物質を染み込ませ、塗布し、被覆し又は積層したもの
24,,011,− パイルを切つてないもの
25,,019,− パイルを切つたもの
26,,,2　その他のもの
27,,021,− パイルを切つてないもの
28,,029,− パイルを切つたもの
29,,,人造繊維製のもの
30,5801.31,,よこパイル織物（パイルを切つてないものに限る。）
31,,010,1 プラスチック、ゴムその他の物質を染み込ませ、塗布し、被覆し又は積層したもの
32,,,2 その他のもの
33,,,(1)合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの、経緯糸のうちいずれか一方がこれらの繊維のもの及び絹の重量が全重量の10％を超えるもの
34,,091,− 絹の重量が全重量の10％を超えるもの（合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のものに限る。）
35,,,− その他のもの
36,,092,−− 特定合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの、経緯糸のうちいずれか一方がこれらの繊維のもの及び絹の重量が全重量の10％を超えるもの
37,,093,−− その他のもの
38,,099,(2)その他のもの
39,5801.32,,コール天（パイルを切つたものに限る。）
