,hs_code,suffix,description
0,03.01,,魚（生きているものに限る。）
1,,,観賞用の魚
2,0301.11,,淡水魚
3,,100,1 こい（キュプリヌス属のもの）及び金魚（カラシウス・アウラトゥス）
4,,200,2 その他のもの
5,0301.19,000,その他のもの
6,,,その他の魚（生きているものに限る。）
7,0301.91,,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）
8,,100,1 養魚用の稚魚
9,,200,2 その他のもの
10,0301.92,,うなぎ（アングイルラ属のもの）
11,,100,1 養魚用の稚魚
12,,200,2 その他のもの
13,0301.93,,こい（クテノファリュンゴドン・イデルルス、ミュロファリュンゴドン・ピケウス、カトラ・カトラ、オステオキルス・ハセルティ、レプトバルブス・ホイヴェニ及びキュプリヌス属、カラシウス属、ヒュポフタルミクテュス属、キルリヌス属、ラベオ属又はメガロブラマ属のもの）
14,,100,1 養魚用の稚魚
15,,200,2 その他のもの
16,0301.94,,くろまぐろ（トゥヌス・ティヌス及びトゥヌス・オリエンタリス）
17,,,1 養魚用の稚魚
18,,110,− くろまぐろ（トゥヌス・ティヌス）
19,,120,− くろまぐろ（トゥヌス・オリエンタリス）
20,,,2 その他のもの
21,,210,− くろまぐろ（トゥヌス・ティヌス）
22,,220,− くろまぐろ（トゥヌス・オリエンタリス）
23,0301.95,,みなみまぐろ（トゥヌス・マッコイイ）
24,,100,1 養魚用の稚魚
25,,900,2 その他のもの
26,0301.99,,その他のもの
27,,,1 養魚用の稚魚
28,,,− ぶり（セリオーラ属のもの）
29,,111,−− ぶり（セリオーラ・クインクエラディアータ）
30,,119,−− その他のもの
31,,120,− こい
32,,190,− その他のもの
33,,,2 その他のもの
34,,210,(1)にしん（クルペア属のもの）、たら（ガドゥス属、テラグラ属又はメルルシウス属のもの）、ぶり（セリオーラ属のもの）、さば（スコムベル属のもの）、いわし（エトルメウス属、サルディノプス属又はエングラウリス属のもの）、あじ（トラクルス属又はデカプテルス属のもの）及びさんま（コロラビス属のもの）
35,,,(2)その他のもの
36,,220,− ひらめ（パラリクティス属のもの）
37,,290,− その他のもの
38,03.02,,魚（生鮮のもの及び冷蔵したものに限るものとし、第03.04項の魚のフィレその他の魚肉を除く。）
39,,,さけ科のもの（第0302.91号から第0302.99号までの食用の魚のくず肉を除く。）
40,0302.11,000,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）
41,0302.13,,太平洋さけ（オンコルヒュンクス・ネルカ、オンコルヒュンクス・ゴルブスカ、オンコルヒュンクス・ケタ、オンコルヒュンクス・トスカウィトスカ、オンコルヒュンクス・キストク、オンコルヒュンクス・マソウ及びオンコルヒュンクス・ロデュルス）
42,,011,− べにざけ（オンコルヒュンクス・ネルカ）
43,,012,− ぎんざけ（オンコルヒュンクス・キストク）
44,,019,− その他のもの
45,0302.14,000,大西洋さけ（サルモ・サラル）及びドナウさけ（フコ・フコ）
46,0302.19,000,その他のもの
47,,,ひらめ・かれい類（かれい科、だるまがれい科、うしのした科、ささうしのした科、スコフタルムス科又はこけびらめ科のもの。第0302.91号から第0302.99号までの食用の魚のくず肉を除く。）
48,0302.21,000,ハリバット（レインハルドティウス・ヒポグロソイデス、ヒポグロスス・ヒポグロスス及びヒポグロスス・ステノレピス）
49,0302.22,000,プレイス（プレウロネクテス・プラテスサ）
50,0302.23,000,ソール（ソレア属のもの）
51,0302.24,000,ターボット（プセタ・マクシマ）
52,0302.29,000,その他のもの
53,,,まぐろ（トゥヌス属のもの）及びかつお（カツオヌス・ペラミス）（第0302.91号から第0302.99号までの食用の魚のくず肉を除く。）
54,0302.31,000,びんながまぐろ（トゥヌス・アラルンガ）
55,0302.32,000,きはだまぐろ（トゥヌス・アルバカレス）
56,0302.33,000,かつお（カツオヌス・ペラミス）
57,0302.34,000,めばちまぐろ（トゥヌス・オベスス）
58,0302.35,,くろまぐろ（トゥヌス・ティヌス及びトゥヌス・オリエンタリス）
59,,010,− くろまぐろ（トゥヌス・ティヌス）
60,,020,− くろまぐろ（トゥヌス・オリエンタリス）
61,0302.36,000,みなみまぐろ（トゥヌス・マッコイイ）
62,0302.39,000,その他のもの
