,hs_code,suffix,description
0,57.01,,じゆうたんその他の紡織用繊維の床用敷物（結びパイルのものに限るものとし、製品にしたものであるかないかを問わない。）
1,5701.10,000,羊毛製又は繊獣毛製のもの
2,5701.90,000,その他の紡織用繊維製のもの
3,57.02,,じゆうたんその他の紡織用繊維の床用敷物（ケレムラグ、シュマックラグ、カラマニラグその他これらに類する手織りの敷物を含み、織物製のものに限るものとし、製品にしたものであるかないかを問わず、タフトし又はフロック加工をしたものを除く。）
4,5702.10,000,ケレムラグ、シュマックラグ、カラマニラグその他これらに類する手織りの敷物
5,5702.20,000,ココやし繊維（コイヤ）製の床用敷物
6,,,その他のもの（パイル織物のものに限るものとし、製品にしたものを除く。）
7,5702.31,000,羊毛製又は繊獣毛製のもの
8,5702.32,000,人造繊維材料製のもの
9,5702.39,,その他の紡織用繊維製のもの
10,,010,1 綿製のもの
11,,020,2 その他のもの
12,,,その他のもの（パイル織物のもので製品にしたものに限る。）
13,5702.41,000,羊毛製又は繊獣毛製のもの
14,5702.42,,人造繊維材料製のもの
15,,100,1 自動車用に適する寸法及び形状のもの
16,,200,2 その他のもの
17,5702.49,,その他の紡織用繊維製のもの
18,,010,1 綿製のもの
19,,020,2 その他のもの
20,5702.50,,その他のもの（パイル織物のもの及び製品にしたものを除く。）
21,,100,1 綿製のもの
22,,,2 その他のもの
23,,910,− 羊毛製又は繊獣毛製のもの
24,,990,− その他のもの
25,,,その他のもの（製品にしたものに限るものとし、パイル織物のものを除く。）
26,5702.91,000,羊毛製又は繊獣毛製のもの
27,5702.92,000,人造繊維材料製のもの
28,5702.99,,その他の紡織用繊維製のもの
29,,010,1 綿製のもの
30,,020,2 その他のもの
31,57.03,,じゆうたんその他の紡織用繊維の床用敷物（人工芝を含み、タフトしたものに限るものとし、製品にしたものであるかないかを問わない。）
32,5703.10,000,羊毛製又は繊獣毛製のもの
33,,,ナイロンその他のポリアミド製のもの
34,5703.21,000,人工芝
35,5703.29,,その他のもの
36,,100,1 自動車用に適する寸法及び形状のもの
37,,,2 その他のもの
38,,210,− タイル（表面積が0.3平方メートル以下のものに限る。）
39,,290,− その他のもの
40,,,その他の人造繊維材料製のもの
41,5703.31,000,人工芝
42,5703.39,,その他のもの
43,,100,1 自動車用に適する寸法及び形状のもの
44,,200,2 その他のもの
45,5703.90,,その他の紡織用繊維製のもの
46,,010,1 綿製のもの
47,,020,2 その他のもの
48,57.04,,じゆうたんその他の紡織用繊維の床用敷物（フェルト製のものに限るものとし、製品にしたものであるかないかを問わず、タフトし又はフロック加工をしたものを除く。）
49,5704.10,000,タイル（表面積が0.3平方メートル以下のものに限る。）
50,5704.20,000,タイル（表面積が0.3平方メートルを超え1平方メートル以下のものに限る。）
51,5704.90,,その他のもの
52,,100,1 自動車用に適する寸法及び形状のもの
53,,200,2 その他のもの
54,57.05,,
55,5705.00,,じゆうたんその他の紡織用繊維の床用敷物（製品にしたものであるかないかを問わないものとし、この類の他の項に該当するものを除く。）
56,,010,1 綿製のもの
57,,,2 その他のもの
58,,022,− 人造繊維材料製のもの
59,,029,− その他のもの
