,hs_code,suffix,description
0,01.01,,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）
1,,,馬
2,0101.21,,純粋種の繁殖用のもの
3,,100,1 サラブレッド種、サラブレッド系種、アラブ種、アングロアラブ種又はアラブ系種の馬（以下この項において「軽種馬」という。）以外のものである旨が関税定率法施行令（以下この類において「政令」という。）で定めるところにより証明されたもの
4,,,2 その他のもの
5,,210,(1)軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）
6,,290,(2)その他のもの
7,0101.29,,その他のもの
8,,100,1 軽種馬以外のものである旨が政令で定めるところにより証明されたもの
9,,,2 その他のもの
10,,210,(1)軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）
11,,290,(2)その他のもの
12,0101.30,000,ろ馬
13,0101.90,000,'その他のもの
14,01.02,,牛（生きているものに限る。）
15,,,家畜のもの
16,0102.21,000,純粋種の繁殖用のもの
17,0102.29,,その他のもの
18,,100,1 1頭の重量が300キログラム以下のもの
19,,200,2 その他のもの
20,,,水牛
21,0102.31,000,純粋種の繁殖用のもの
22,0102.39,000,その他のもの
23,0102.90,,その他のもの
24,,100,1 純粋種の繁殖用のもの
25,,,2 その他のもの
26,,210,(1)1頭の重量が300キログラム以下のもの
27,,290,(2)その他のもの
28,01.03,,豚（生きているものに限る。）
29,0103.10,000,純粋種の繁殖用のもの
30,,,その他のもの
31,0103.91,000,1頭の重量が50キログラム未満のもの
32,0103.92,,1頭の重量が50キログラム以上のもの
33,,011,*〔1〕1頭の課税価格が生きている豚に係る従量税適用限度価格（生きている豚に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第1項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの
34,,012,*〔2〕1頭の課税価格が生きている豚に係る従量税適用限度価格を超え、生きている豚に係る分岐点価格（生きている豚に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、9.8％の場合は0.098）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの
35,,020,*〔3〕1頭の課税価格が生きている豚に係る分岐点価格を超えるもの
36,01.04,,羊及びやぎ（生きているものに限る。）
37,0104.10,000,羊
38,0104.20,000,やぎ
39,01.05,,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）
40,,,1羽の重量が185グラム以下のもの
41,0105.11,000,鶏（ガルルス・ドメスティクス）
42,0105.12,000,七面鳥
43,0105.13,000,あひる
44,0105.14,000,がちよう
45,0105.15,000,ほろほろ鳥
46,,,その他のもの
47,0105.94,000,鶏（ガルルス・ドメスティクス）
48,0105.99,000,その他のもの
49,01.06,,その他の動物（生きているものに限る。）
50,,,哺乳類
51,0106.11,000,霊長類
52,0106.12,,くじら目、海牛目及び鰭脚下目
53,,010,− くじら目及び海牛目
54,,090,− その他のもの
55,0106.13,000,らくだ科
56,0106.14,000,うさぎ
57,0106.19,,その他のもの
58,,010,− 食肉目
59,,090,− その他のもの
60,0106.20,,爬虫類
61,,010,− かめ目
62,,020,− ワニ目
63,,,− 有鱗目
64,,031,−− トカゲ亜目
65,,039,−− その他のもの
66,,090,− その他のもの
67,,,鳥類
68,0106.31,000,猛きん類
69,0106.32,000,おうむ目
70,0106.33,000,エミュー（ドロマイウス・ノヴァイホルランディアイ）及びだちよう
71,0106.39,000,その他のもの
72,,,昆虫類
73,0106.41,000,蜂
74,0106.49,000,その他のもの
75,0106.90,,その他のもの
76,,,− 両生類
77,,011,−− 無尾目
78,,012,−− 有尾目
79,,019,−− その他のもの
80,,090,− その他のもの
