,hs_code,suffix,description
0,56.01,,紡織用繊維のウォッディング及びその製品並びに長さが5ミリメートル以下の紡織用繊維（フロック）、紡織用繊維のダスト及びミルネップ
1,,,紡織用繊維のウォッディング及びその製品
2,5601.21,000,綿製のもの
3,5601.22,000,人造繊維製のもの
4,5601.29,000,その他のもの
5,5601.30,000,紡織用繊維のフロック、ダスト及びミルネップ
6,56.02,,フェルト（染み込ませ、塗布し、被覆し又は積層したものであるかないかを問わない。）
7,5602.10,000,ニードルルームフェルト及びステッチボンディング方式により製造した織物類
8,,,その他のフェルト（染み込ませ、塗布し、被覆し又は積層したものを除く。）
9,5602.21,000,羊毛製又は繊獣毛製のもの
10,5602.29,000,その他の紡織用繊維製のもの
11,5602.90,000,その他のもの
12,56.03,,不織布（染み込ませ、塗布し、被覆し又は積層したものであるかないかを問わない。）
13,,,人造繊維の長繊維製のもの
14,5603.11,,重量が1平方メートルにつき25グラム以下のもの
15,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
16,,,2 その他のもの
17,,210,− ナイロンその他のポリアミド製のもの
18,,220,− ポリエステル製のもの
19,,230,− ポリプロピレン製のもの
20,,240,− ビスコースレーヨン製のもの
21,,290,− その他のもの
22,5603.12,,重量が1平方メートルにつき25グラムを超え70グラム以下のもの
23,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
24,,,2 その他のもの
25,,210,− ナイロンその他のポリアミド製のもの
26,,220,− ポリエステル製のもの
27,,230,− ポリプロピレン製のもの
28,,240,− ビスコースレーヨン製のもの
29,,290,− その他のもの
30,5603.13,,重量が1平方メートルにつき70グラムを超え150グラム以下のもの
31,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
32,,,2 その他のもの
33,,210,− ナイロンその他のポリアミド製のもの
34,,220,− ポリエステル製のもの
35,,230,− ポリプロピレン製のもの
36,,240,− ビスコースレーヨン製のもの
37,,290,− その他のもの
38,5603.14,,重量が1平方メートルにつき150グラムを超えるもの
39,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
40,,,2 その他のもの
41,,210,− ナイロンその他のポリアミド製のもの
42,,220,− ポリエステル製のもの
43,,230,− ポリプロピレン製のもの
44,,240,− ビスコースレーヨン製のもの
45,,290,− その他のもの
46,,,その他のもの
47,5603.91,,重量が1平方メートルにつき25グラム以下のもの
48,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
49,,,2 その他のもの
50,,210,− ナイロンその他のポリアミド製のもの
51,,220,− ポリエステル製のもの
52,,230,− ポリプロピレン製のもの
53,,240,− ビスコースレーヨン製のもの
54,,290,− その他のもの
55,5603.92,,重量が1平方メートルにつき25グラムを超え70グラム以下のもの
56,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
57,,,2 その他のもの
58,,210,− ナイロンその他のポリアミド製のもの
59,,220,− ポリエステル製のもの
60,,230,− ポリプロピレン製のもの
61,,240,− ビスコースレーヨン製のもの
62,,290,− その他のもの
63,5603.93,,重量が1平方メートルにつき70グラムを超え150グラム以下のもの
64,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
65,,,2 その他のもの
66,,210,− ナイロンその他のポリアミド製のもの
67,,220,− ポリエステル製のもの
68,,230,− ポリプロピレン製のもの
69,,240,− ビスコースレーヨン製のもの
70,,290,− その他のもの
71,5603.94,,重量が1平方メートルにつき150グラムを超えるもの
72,,100,1 芳香族ポリアミド繊維製のもの（電気絶縁用のものに限る。）
73,,,2 その他のもの
74,,210,− ナイロンその他のポリアミド製のもの
75,,220,− ポリエステル製のもの
76,,230,− ポリプロピレン製のもの
77,,290,− その他のもの
78,56.04,,ゴム糸及びゴムひも（紡織用繊維で被覆したものに限る。）並びに紡織用繊維の糸及び第54.04項又は第54.05項のストリップその他これに類する物品（ゴム又はプラスチックを染み込ませ、塗布し又は被覆したものに限る。）
79,5604.10,000,ゴム糸及びゴムひも（紡織用繊維で被覆したものに限る。）
80,5604.90,,その他のもの
81,,,1 強力糸（ナイロンその他のポリアミド、ポリエステル又はビスコースレーヨンのもので、染み込ませ又は塗布したものに限る。）
82,,110,(1)アラミド繊維のもの
83,,,(2)その他のもの
84,,191,A ゴムを染み込ませ又は塗布したもの
85,,199,B その他のもの
86,,200,2 ゴムを染み込ませ、塗布し又は被覆したもの
87,,,3 その他のもの
88,,910,(1)綿製のもの
89,,990,(2)その他のもの
90,56.05,,
91,5605.00,000,金属を交えた糸（紡織用繊維の糸及び第54.04項又は第54.05項のストリップその他これに類する物品で、糸状、ストリップ状又は粉状の金属と結合したもの及び金属で被覆したものに限るものとし、ジンプヤーンであるかないかを問わない。）
92,56.06,,
93,5606.00,,ジンプヤーン（第54.04項又は第54.05項のストリップその他これに類する物品をしんに使用したものを含むものとし、第56.05項のもの及び馬毛をしん糸に使用したジンプヤーンを除く。）、シェニールヤーン（フロックシェニールヤーンを含む。）及びループウェールヤーン
94,,010,1 ループウェールヤーン
95,,020,2 その他のもの
96,56.07,,ひも、綱及びケーブル（組んであるかないか又はゴム若しくはプラスチックを染み込ませ、塗布し若しくは被覆したものであるかないかを問わない。）
97,,,サイザルその他のアゲーブ属の紡織用繊維製のもの
98,5607.21,000,結束用又は包装用のひも
99,5607.29,000,その他のもの
100,,,ポリエチレン製又はポリプロピレン製のもの
101,5607.41,000,結束用又は包装用のひも
102,5607.49,,その他のもの
103,,010,− ポリエチレン製のもの
104,,090,− ポリプロピレン製のもの
105,5607.50,000,その他の合成繊維製のもの
106,5607.90,,その他のもの
107,,100,1 第53.03項のジュートその他の紡織用靱皮繊維製のもの
108,,,2 その他のもの
109,,910,− アバカ（マニラ麻又はムサ・テクスティリス）その他の硬質繊維のもの
110,,990,− その他のもの
111,56.08,,結び網地（ひも又は綱から製造したものに限る。）及び漁網その他の網（製品にしたもので、紡織用繊維製のものに限る。）
112,,,人造繊維製のもの
113,5608.11,000,漁網（製品にしたものに限る。）
114,5608.19,,その他のもの
115,,,1 結び網地及び結び網（ひも又は綱から製造したものに限る。）
116,,011,(1)合成繊維製のもの
117,,019,(2)その他のもの
118,,,2 その他のもの
119,,091,− 合成繊維製のもの
120,,099,− その他のもの
121,5608.90,,その他のもの
122,,,1 結び網地及び結び網（ひも又は綱から製造したものに限る。）並びに漁網（製品にしたもので、糸、ひも又は綱から製造したものに限る。）
123,,011,(1)綿製のもの
124,,019,(2)その他のもの
125,,090,2 その他のもの
126,56.09,,
127,5609.00,,糸、第54.04項若しくは第54.05項のストリップその他これに類する物品、ひも、綱又はケーブルの製品（他の項に該当するものを除く。）
128,,010,1 亜麻製、ラミー製、大麻製、ジュート製その他の紡織用靱皮繊維製、マニラ麻製、サイザル麻製、合成繊維製又はアセテート繊維製のもの
129,,020,2 その他のもの
