,hs_code,suffix,description
0,35.01,,カゼイン及びカゼイナートその他のカゼイン誘導体並びにカゼイングルー
1,3501.10,000,カゼイン
2,3501.90,000,その他のもの
3,35.02,,アルブミン（二以上のホエイたんぱく質の濃縮物を含むものとし、ホエイたんぱく質の含有量が乾燥状態において全重量の80％を超えるものに限る。）及びアルブミナートその他のアルブミン誘導体
4,,,卵白
5,3502.11,000,乾燥したもの
6,3502.19,000,その他のもの
7,3502.20,000,ミルクアルブミン（二以上のホエイたんぱく質の濃縮物を含む。）
8,3502.90,000,その他のもの
9,35.03,,
10,3503.00,,ゼラチン（長方形（正方形を含む。）のシート状のものを含むものとし、表面加工をしてあるかないか又は着色してあるかないかを問わない。）、ゼラチン誘導体、アイシングラス及びその他のにかわ（第35.01項のカゼイングルーを除く。）
11,,090,1 ゼラチン（写真用のものに限る。）及びゼラチン誘導体
12,,020,2 魚膠及びアイシングラス
13,,,3 その他のもの
14,,011,− ゼラチン
15,,012,− にかわ
16,35.04,,
17,3504.00,,ペプトン及びその誘導体並びにその他のたんぱく質系物質及びその誘導体（他の項に該当するものを除く。）並びに皮粉（クロムみようばんを加えたものを含む。）
18,,010,1 ペプトン、その誘導体及び皮粉
19,,,2 その他のもの
20,,021,− 植物性たんぱく及びその誘導体
21,,029,− その他のもの
22,35.05,,デキストリンその他の変性でん粉（例えば、糊化済でん粉及びエステル化でん粉）及びでん粉又はデキストリンその他の変性でん粉をもととした膠着剤
23,3505.10,,デキストリンその他の変性でん粉
24,,100,1 エステル化でん粉その他のでん粉誘導体
25,,200,2 その他のもの
26,3505.20,000,膠着剤
27,35.06,,調製膠着剤その他の調製接着剤（他の項に該当するものを除く。）及び膠着剤又は接着剤としての使用に適する物品（膠着剤又は接着剤として小売用にしたもので正味重量が1キログラム以下のものに限る。）
28,3506.10,000,膠着剤又は接着剤としての使用に適する物品（膠着剤又は接着剤として小売用にしたもので正味重量が1キログラム以下のものに限る。）
29,,,その他のもの
30,3506.91,000,ゴム又は第39.01項から第39.13項までの重合体をもととした接着剤
31,3506.99,000,その他のもの
32,35.07,,酵素及び他の項に該当しない調製した酵素
33,3507.10,000,レンネット及びその濃縮物
34,3507.90,000,その他のもの
