,hs_code,suffix,description
0,61.01,,男子用のオーバーコート、カーコート、ケープ、クローク、アノラック（スキージャケットを含む。）、ウインドチーター、ウインドジャケットその他これらに類する製品（メリヤス編み又はクロセ編みのものに限るものとし、第61.03項のものを除く。）
1,6101.20,000,綿製のもの
2,6101.30,000,人造繊維製のもの
3,6101.90,,その他の紡織用繊維製のもの
4,,100,1 羊毛製又は繊獣毛製のもの
5,,900,2 その他のもの
6,61.02,,女子用のオーバーコート、カーコート、ケープ、クローク、アノラック（スキージャケットを含む。）、ウインドチーター、ウインドジャケットその他これらに類する製品（メリヤス編み又はクロセ編みのものに限るものとし、第61.04項のものを除く。）
7,6102.10,000,羊毛製又は繊獣毛製のもの
8,6102.20,000,綿製のもの
9,6102.30,000,人造繊維製のもの
10,6102.90,000,その他の紡織用繊維製のもの
11,61.03,,男子用のスーツ、アンサンブル、ジャケット、ブレザー、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）（メリヤス編み又はクロセ編みのものに限る。）
12,6103.10,,スーツ
13,,200,1 羊毛製、繊獣毛製又は合成繊維製のもの
14,,800,2 その他のもの
15,,,アンサンブル
16,6103.22,000,綿製のもの
17,6103.23,000,合成繊維製のもの
18,6103.29,,その他の紡織用繊維製のもの
19,,100,1 羊毛製又は繊獣毛製のもの
20,,900,2 その他のもの
21,,,ジャケット及びブレザー
22,6103.31,000,羊毛製又は繊獣毛製のもの
23,6103.32,000,綿製のもの
24,6103.33,000,合成繊維製のもの
25,6103.39,000,その他の紡織用繊維製のもの
26,,,ズボン、胸当てズボン、半ズボン及びショーツ
27,6103.41,000,羊毛製又は繊獣毛製のもの
28,6103.42,000,綿製のもの
29,6103.43,000,合成繊維製のもの
30,6103.49,000,その他の紡織用繊維製のもの
31,61.04,,女子用のスーツ、アンサンブル、ジャケット、ブレザー、ドレス、スカート、キュロットスカート、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）（メリヤス編み又はクロセ編みのものに限る。）
32,,,スーツ
33,6104.13,000,合成繊維製のもの
34,6104.19,,その他の紡織用繊維製のもの
35,,100,1 羊毛製、繊獣毛製又は綿製のもの
36,,900,2 その他のもの
37,,,アンサンブル
38,6104.22,000,綿製のもの
39,6104.23,000,合成繊維製のもの
40,6104.29,,その他の紡織用繊維製のもの
41,,100,1 羊毛製又は繊獣毛製のもの
42,,900,2 その他のもの
43,,,ジャケット及びブレザー
44,6104.31,000,羊毛製又は繊獣毛製のもの
45,6104.32,000,綿製のもの
46,6104.33,000,合成繊維製のもの
47,6104.39,000,その他の紡織用繊維製のもの
48,,,ドレス
49,6104.41,000,羊毛製又は繊獣毛製のもの
50,6104.42,000,綿製のもの
51,6104.43,000,合成繊維製のもの
52,6104.44,000,再生繊維又は半合成繊維製のもの
53,6104.49,000,その他の紡織用繊維製のもの
54,,,スカート及びキュロットスカート
55,6104.51,000,羊毛製又は繊獣毛製のもの
56,6104.52,000,綿製のもの
57,6104.53,000,合成繊維製のもの
58,6104.59,000,その他の紡織用繊維製のもの
59,,,ズボン、胸当てズボン、半ズボン及びショーツ
60,6104.61,000,羊毛製又は繊獣毛製のもの
61,6104.62,000,綿製のもの
62,6104.63,000,合成繊維製のもの
63,6104.69,000,その他の紡織用繊維製のもの
64,61.05,,男子用のシャツ（メリヤス編み又はクロセ編みのものに限る。）
65,6105.10,,綿製のもの
66,,010,1 オープンシャツ、ポロシャツその他これらに類するシャツ
67,,020,2 その他のもの
68,6105.20,,人造繊維製のもの
69,,010,1 オープンシャツ、ポロシャツその他これらに類するシャツ
70,,020,2 その他のもの
71,6105.90,,その他の紡織用繊維製のもの
72,,010,1 オープンシャツ、ポロシャツその他これらに類するシャツ
73,,020,2 その他のもの
74,61.06,,女子用のブラウス、シャツ及びシャツブラウス（メリヤス編み又はクロセ編みのものに限る。）
75,6106.10,,綿製のもの
76,,010,1 ブラウス、シャツブラウス、オープンシャツ、ポロシャツその他これらに類するシャツ
77,,020,2 その他のもの
78,6106.20,,人造繊維製のもの
79,,010,1 ブラウス、シャツブラウス、オープンシャツ、ポロシャツその他これらに類するシャツ
80,,020,2 その他のもの
81,6106.90,,その他の紡織用繊維製のもの
82,,040,1 ブラウス、シャツブラウス、オープンシャツ、ポロシャツその他これらに類するシャツ
83,,020,2 その他のもの
84,61.07,,男子用のパンツ、ズボン下、ブリーフ、ナイトシャツ、パジャマ、バスローブ、ドレッシングガウンその他これらに類する製品（メリヤス編み又はクロセ編みのものに限る。）
85,,,パンツ、ズボン下及びブリーフ
86,6107.11,000,綿製のもの
87,6107.12,000,人造繊維製のもの
88,6107.19,000,その他の紡織用繊維製のもの
89,,,ナイトシャツ及びパジャマ
90,6107.21,000,綿製のもの
91,6107.22,000,人造繊維製のもの
92,6107.29,000,その他の紡織用繊維製のもの
93,,,その他のもの
94,6107.91,,綿製のもの
95,,010,1 バスローブ、ドレッシングガウンその他これらに類する製品
96,,020,2 その他のもの
97,6107.99,,その他の紡織用繊維製のもの
98,,010,1 バスローブ、ドレッシングガウンその他これらに類する製品
99,,020,2 その他のもの
100,61.08,,女子用のスリップ、ペティコート、ブリーフ、パンティ、ナイトドレス、パジャマ、ネグリジェ、バスローブ、ドレッシングガウンその他これらに類する製品（メリヤス編み又はクロセ編みのものに限る。）
101,,,スリップ及びペティコート
102,6108.11,000,人造繊維製のもの
103,6108.19,000,その他の紡織用繊維製のもの
104,,,ブリーフ及びパンティ
105,6108.21,000,綿製のもの
106,6108.22,000,人造繊維製のもの
107,6108.29,000,その他の紡織用繊維製のもの
108,,,ナイトドレス及びパジャマ
109,6108.31,000,綿製のもの
110,6108.32,000,人造繊維製のもの
111,6108.39,000,その他の紡織用繊維製のもの
112,,,その他のもの
113,6108.91,,綿製のもの
114,,010,1 ネグリジェ、バスローブ、ドレッシングガウンその他これらに類する製品
115,,020,2 その他のもの
116,6108.92,,人造繊維製のもの
117,,010,1 ネグリジェ、バスローブ、ドレッシングガウンその他これらに類する製品
118,,020,2 その他のもの
119,6108.99,,その他の紡織用繊維製のもの
120,,010,1 ネグリジェ、バスローブ、ドレッシングガウンその他これらに類する製品
121,,020,2 その他のもの
122,61.09,,Tシャツ、シングレットその他これらに類する肌着（メリヤス編み又はクロセ編みのものに限る。）
123,6109.10,,綿製のもの
124,,010,1 異なる色の糸から成るもの及びなせんしたもの
125,,020,2 その他のもの
126,6109.90,,その他の紡織用繊維製のもの
127,,100,1 異なる色の糸から成るもの及びなせんしたもの
128,,200,2 その他のもの
129,61.10,,ジャージー、プルオーバー、カーディガン、ベストその他これらに類する製品（メリヤス編み又はクロセ編みのものに限る。）
130,,,羊毛製又は繊獣毛製のもの
131,6110.11,000,羊毛製のもの
132,6110.12,000,カシミヤ毛製のもの
133,6110.19,000,その他のもの
134,6110.20,,綿製のもの
135,,030,-　トレーナー
136,,,-　その他のもの
137,,019,−− ししゆうしたもの、レースを使用したもの及び模様編みの組織を有するもの
138,,029,−− その他のもの
139,6110.30,,人造繊維製のもの
140,,030,− トレーナー
141,,,− その他のもの
142,,,−− アクリルのもの
143,,012,−−− ししゆうしたもの、レースを使用したもの及び模様編みの組織を有するもの
144,,022,−−− その他のもの
145,,099,−− その他のもの
146,6110.90,000,その他の紡織用繊維製のもの
147,61.11,,乳児用の衣類及び衣類附属品（メリヤス編み又はクロセ編みのものに限る。）
148,6111.20,,綿製のもの
149,,150,1 手袋、ミトン及びミット
150,,,2 パンティストッキング、タイツ、ストッキング、ソックスその他の靴下類
151,,210,(1)パンティストッキング及びタイツ
152,,295,(2)その他のもの
153,,300,3 その他のもの
154,6111.30,,合成繊維製のもの
155,,150,1 手袋、ミトン及びミット
156,,,2 パンティストッキング、タイツ、ストッキング、ソックスその他の靴下類
157,,210,(1)パンティストッキング及びタイツ
158,,295,(2)その他のもの
159,,300,3 その他のもの
160,6111.90,,その他の紡織用繊維製のもの
161,,100,1 手袋、ミトン及びミット
162,,,2 パンティストッキング、タイツ、ストッキング、ソックスその他の靴下類
163,,210,(1)パンティストッキング及びタイツ
164,,290,(2)その他のもの
165,,,3 その他のもの
166,,310,(1)羊毛製又は繊獣毛製のもの
167,,390,(2)その他のもの
168,61.12,,トラックスーツ、スキースーツ及び水着（メリヤス編み又はクロセ編みのものに限る。）
169,,,トラックスーツ
170,6112.11,000,綿製のもの
171,6112.12,000,合成繊維製のもの
172,6112.19,000,その他の紡織用繊維製のもの
173,6112.20,,スキースーツ
174,,100,1 合成繊維製のもの
175,,900,2 その他のもの
176,,,男子用の水着
177,6112.31,000,合成繊維製のもの
178,6112.39,000,その他の紡織用繊維製のもの
179,,,女子用の水着
180,6112.41,000,合成繊維製のもの
181,6112.49,000,その他の紡織用繊維製のもの
182,61.13,,
183,6113.00,,衣類（第59.03項、第59.06項又は第59.07項のメリヤス編物又はクロセ編物から製品にしたものに限る。）
184,,010,1 第59.06項の編物製のもの
185,,,2 その他のもの
186,,091,− 第61.01項又は第61.02項のものと同一種類のもの
187,,099,− その他のもの
188,61.14,,その他の衣類（メリヤス編み又はクロセ編みのものに限る。）
189,6114.20,000,綿製のもの
190,6114.30,000,人造繊維製のもの
191,6114.90,000,その他の紡織用繊維製のもの
192,61.15,,パンティストッキング、タイツ、ストッキング、ソックスその他の靴下類（段階的圧縮靴下（例えば、静脈瘤症用のストッキング）及び履物として使用するもの（更に別の底を取り付けてないものに限る。）を含むものとし、メリヤス編み又はクロセ編みのものに限る。）
193,6115.10,,段階的圧縮靴下（例えば、静脈瘤症用のストッキング）
194,,100,1 パンティストッキング及びタイツ
195,,,2 その他のもの
196,,910,(1)綿製のもの
197,,,(2)合成繊維製のもの
198,,921,A 女子用の長靴下（構成する単糸が67デシテックス未満のものに限る。）
199,,929,B その他のもの
200,,930,(3)羊毛製又は繊獣毛製のもの
201,,,(4)その他の紡織用繊維製のもの
202,,991,A 女子用の長靴下（構成する単糸が67デシテックス未満のものに限る。）
203,,999,B その他のもの
204,,,その他のパンティストッキング及びタイツ
205,6115.21,000,合成繊維製のもの（構成する単糸が67デシテックス未満のものに限る。）
206,6115.22,000,合成繊維製のもの（構成する単糸が67デシテックス以上のものに限る。）
207,6115.29,000,その他の紡織用繊維製のもの
208,6115.30,,その他の女子用の長靴下（構成する単糸が67デシテックス未満のものに限る。）
209,,100,1 合成繊維製のもの
210,,200,2 綿製のもの
211,,900,3 その他のもの
212,,,その他のもの
213,6115.94,000,羊毛製又は繊獣毛製のもの
214,6115.95,000,綿製のもの
215,6115.96,000,合成繊維製のもの
216,6115.99,000,その他の紡織用繊維製のもの
217,61.16,,手袋、ミトン及びミット（メリヤス編み又はクロセ編みのものに限る。）
218,6116.10,,プラスチック又はゴムを染み込ませ、塗布し、被覆し又は積層したもの
219,,,1 綿製のもの
220,,155,(1)プラスチックを染み込ませ、塗布し、被覆し又は積層したもの
221,,,(2)その他のもの
222,,165,− 手袋
223,,168,− 手袋以外のもの
224,,,2 その他のもの
225,,255,(1)プラスチックを染み込ませ、塗布し、被覆し又は積層したもの
226,,,(2)その他のもの
227,,260,− 手袋
228,,265,− 手袋以外のもの
229,,,その他のもの
230,6116.91,000,羊毛製又は繊獣毛製のもの
231,6116.92,000,綿製のもの
232,6116.93,000,合成繊維製のもの
233,6116.99,000,その他の紡織用繊維製のもの
234,61.17,,その他の衣類附属品（製品にしたもので、メリヤス編み又はクロセ編みのものに限る。）及び衣類又は衣類附属品の部分品（メリヤス編み又はクロセ編みのものに限る。）
235,6117.10,,ショール、スカーフ、マフラー、マンティーラ、ベールその他これらに類する製品
236,,100,− 羊毛製又は繊獣毛製のもの
237,,200,− 合成繊維製のもの
238,,900,− その他のもの
239,6117.80,,その他の附属品
240,,,1 ゴムを染み込ませ、塗布し、被覆し又は積層したもの
241,,016,(1)綿製のもの
242,,017,(2)その他のもの
243,,200,2 その他のもの
244,6117.90,000,部分品
