,hs_code,suffix,description
0,13.01,,ラック、天然ガム、樹脂、ガムレジン及びオレオレジン（例えば、バルサム）
1,1301.20,000,アラビアゴム
2,1301.90,,その他のもの
3,,100,1 セラックその他の精製ラック
4,,,2 その他のもの
5,,910,− シードラック
6,,920,− その他のラック
7,,990,− その他のもの
8,13.02,,植物性の液汁及びエキス、ペクチン質、ペクチニン酸塩、ペクチン酸塩並びに寒天その他植物性原料から得た粘質物及びシックナー（変性させてあるかないかを問わない。）
9,,,植物性の液汁及びエキス
10,1302.11,000,生あへん
11,1302.12,000,甘草のもの
12,1302.13,000,ホップのもの
13,1302.14,,麻黄のもの
14,,100,1 アルコール分が50％以上のもの
15,,900,2 その他のもの
16,1302.19,,その他のもの
17,,,1 飲料のもと
18,,110,(1)植物性の一種類の原料から得たもの
19,,120,(2)その他のもの
20,,,2 除虫菊のもの及びロテノンを含有する植物の根のもの
21,,310,(1)除虫菊エキス
22,,390,(2)その他のもの
23,,,3 その他のもの
24,,210,(1)生漆
25,,220,(2)大麻エキス、大麻チンキ及び粗製コカイン
26,,,(3)その他のもの
27,,231,A アルコール分が50％以上のもの
28,,239,B その他のもの
29,1302.20,000,ペクチン質、ペクチニン酸塩及びペクチン酸塩
30,,,植物性原料から得た粘質物及びシックナー（変性させてあるかないかを問わない。）
31,1302.31,000,寒天
32,1302.32,,ローカストビーン若しくはその種又はグアーシードから得た粘質物及びシックナー（変性させてあるかないかを問わない。）
33,,010,− ローカストビーンガム
34,,090,− その他のもの
35,1302.39,000,その他のもの
