,hs_code,suffix,description
0,52.01,,
1,5201.00,000,実綿及び繰綿（カードし又はコームしたものを除く。）
2,52.02,,綿のくず（糸くず及び反毛した繊維を含む。）
3,5202.10,000,糸くず
4,,,その他のもの
5,5202.91,000,反毛した繊維
6,5202.99,000,その他のもの
7,52.03,,
8,5203.00,000,綿（カードし又はコームしたものに限る。）
9,52.04,,綿製の縫糸（小売用にしたものであるかないかを問わない。）
10,,,小売用にしたものでないもの
11,5204.11,,綿の重量が全重量の85％以上のもの
12,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
13,,020,2 その他のもの
14,5204.19,,その他のもの
15,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
16,,020,2 その他のもの
17,5204.20,000,小売用にしたもの
18,52.05,,綿糸（綿の重量が全重量の85％以上のものに限るものとし、縫糸及び小売用にしたものを除く。）
19,,,単糸（コームした繊維製のものを除く。）
20,5205.11,,714.29デシテックス以上のもの（メートル式番手14以下のもの）
21,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
22,,020,2 その他のもの
23,5205.12,,232.56デシテックス以上714.29デシテックス未満のもの（メートル式番手14を超え43以下のもの）
24,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
25,,,2 その他のもの
26,,,− 綿のみから成るもの
27,,021,−− 漂白してないもの（マーセライズしたものを除く。）
28,,022,−− その他のもの
29,,029,− 他の繊維を混ぜたもの
30,5205.13,,192.31デシテックス以上232.56デシテックス未満のもの（メートル式番手43を超え52以下のもの）
31,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
32,,,2 その他のもの
33,,,− 綿のみから成るもの
34,,021,−− 漂白してないもの（マーセライズしたものを除く。）
35,,022,−− その他のもの
36,,029,− 他の繊維を混ぜたもの
37,5205.14,,125デシテックス以上192.31デシテックス未満のもの（メートル式番手52を超え80以下のもの）
38,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
39,,,2 その他のもの
40,,,− 綿のみから成るもの
41,,021,−− 漂白してないもの（マーセライズしたものを除く。）
42,,022,−− その他のもの
43,,029,− 他の繊維を混ぜたもの
44,5205.15,,125デシテックス未満のもの（メートル式番手80を超えるもの）
45,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
46,,,2 その他のもの
47,,,− 綿のみから成るもの
48,,021,−− 漂白してないもの（マーセライズしたものを除く。）
49,,022,−− その他のもの
50,,029,− 他の繊維を混ぜたもの
51,,,単糸（コームした繊維製のものに限る。）
52,5205.21,,714.29デシテックス以上のもの（メートル式番手14以下のもの）
53,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
54,,020,2 その他のもの
55,5205.22,,232.56デシテックス以上714.29デシテックス未満のもの（メートル式番手14を超え43以下のもの）
56,,010,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの
57,,,2 その他のもの
58,,,− 綿のみから成るもの
59,,021,−− 漂白してないもの（マーセライズしたものを除く。）
60,,022,−− その他のもの
61,,029,− 他の繊維を混ぜたもの
62,5205.23,,192.31デシテックス以上232.56デシテックス未満のもの（メートル式番手43を超え52以下のもの）
