,hs_code,suffix,description
0,86.01,,鉄道用機関車（外部電源又は蓄電池により走行するものに限る。）
1,8601.10,000,外部電源により走行するもの
2,8601.20,000,蓄電池により走行するもの
3,86.02,,その他の鉄道用機関車及び炭水車
4,8602.10,000,電気式ディーゼル機関車
5,8602.90,000,その他のもの
6,86.03,,鉄道用又は軌道用の客車及び貨車（自走式のものに限るものとし、第86.04項のものを除く。）
7,8603.10,000,外部電源により走行するもの
8,8603.90,000,その他のもの
9,86.04,,
10,8604.00,000,鉄道又は軌道の保守用又は作業用の車両（自走式であるかないかを問わない。例えば、工作車、クレーン車、砂利突固め車、軌道整正車、検査車及び軌道検測車）
11,86.05,,
12,8605.00,000,鉄道用又は軌道用の客車（自走式のものを除く。）及び鉄道用又は軌道用の手荷物車、郵便車その他の特殊用途車（自走式のもの及び第86.04項のものを除く。）
13,86.06,,鉄道用又は軌道用の貨車（自走式のものを除く。）
14,8606.10,000,タンク車その他これに類する車両
15,8606.30,000,荷卸機構付きの貨車（第8606.10号のものを除く。）
16,,,その他のもの
17,8606.91,000,有がい車
18,8606.92,000,無がい車（高さが60センチメートルを超える側壁を有するものに限る。）
19,8606.99,000,その他のもの
20,86.07,,鉄道用又は軌道用の機関車又は車両の部分品
21,,,ボギー台車、ビッセル台車、車軸及び車輪並びにこれらの部分品
22,8607.11,000,駆動ボギー台車及び駆動ビッセル台車
23,8607.12,000,その他のボギー台車及びビッセル台車
24,8607.19,000,その他のもの（部分品を含む。）
25,,,ブレーキ及びその部分品
26,8607.21,000,エアブレーキ及びその部分品
27,8607.29,000,その他のもの
28,8607.30,000,フックその他の連結器及び緩衝器並びにこれらの部分品
29,,,その他のもの
30,8607.91,000,機関車のもの
31,8607.99,000,その他のもの
32,86.08,,
33,8608.00,000,信号用、安全用又は交通管制用の機械式機器（電気機械式のものを含むものとし、鉄道用、軌道用、道路用、内陸水路用、駐車施設用、港湾設備用又は空港用のものに限る。）及び鉄道又は軌道の線路用装備品並びにこれらの部分品
34,86.09,,
35,8609.00,000,コンテナ（液体輸送用のものを含むものとし、一以上の輸送方式による運送を行うために特に設計し、かつ、装備したものに限る。）
