,hs_code,suffix,description
0,44.01,,のこくず及び木くず（棒状、ブリケット状、ぺレット状その他これらに類する形状に凝結させてあるかないかを問わない。）、薪材並びにチップ状又は小片状の木材
1,,,薪材
2,4401.11,000,針葉樹のもの
3,4401.12,000,針葉樹以外のもの
4,,,チップ状又は小片状の木材
5,4401.21,000,針葉樹のもの
6,4401.22,000,針葉樹以外のもの
7,,,のこくず及び木くず（棒状、ブリケット状、ぺレット状その他これらに類する形状に凝結させたものに限る。）
8,4401.31,000,木質ペレット
9,4401.32,000,木質ブリケット
10,4401.39,000,その他のもの
11,,,のこくず及び木くず（凝結させたものを除く。）
12,4401.41,000,のこくず
13,4401.49,000,その他のもの
14,44.02,,木炭（植物性の殻又はナットの炭を含むものとし、凝結させてあるかないかを問わない。）
15,4402.10,000,竹製のもの
16,4402.20,,殻又はナットのもの
17,,010,− やし殻炭
18,,090,− その他のもの
19,4402.90,,その他のもの
20,,100,− 成型したもの
21,,200,− 粉状、粒状のもの
22,,300,− その他のもの
23,44.03,,木材（粗のものに限るものとし、皮若しくは辺材を剥いであるかないか又は粗く角にしてあるかないかを問わない。）
24,,,ペイント、クレオソートその他の保存剤により処理したもの
25,4403.11,000,針葉樹のもの
26,4403.12,,針葉樹以外のもの
27,,100,− ふたばがき科のもの
28,,900,− その他のもの
29,,,その他のもの（針葉樹のものに限る。）
30,4403.21,000,松（マツ属のもの）のもの（横断面の最小寸法が15センチメートル以上のものに限る。）
31,4403.22,000,松（マツ属のもの）のその他のもの
32,4403.23,,もみ（モミ属のもの）又はとうひ（トウヒ属のもの）のもの（横断面の最小寸法が15センチメートル以上のものに限る。）
33,,100,− シトカスプルースのもの
34,,900,−その他のもの
35,4403.24,,もみ（モミ属のもの）又はとうひ（トウヒ属のもの）のその他のもの
36,,100,− シトカスプルースのもの
37,,900,− その他のもの
38,4403.25,,その他のもの（横断面の最小寸法が15センチメートル以上のものに限る。）
39,,100,− カラマツ属のもの
40,,200,− ホワイトシダー、イエローシダーその他のヒノキ属のもの
41,,300,− ヘムロックその他のツガ属のもの
42,,400,− レッドシダーその他のネズコ属のもの
43,,500,− ダグラスファーその他のトガサワラ属のもの
44,,900,− その他のもの
45,4403.26,,その他のもの
46,,100,− カラマツ属のもの
47,,200,− ホワイトシダー、イエローシダーその他のヒノキ属のもの
48,,300,− ヘムロックその他のツガ属のもの
49,,400,− レッドシダーその他のネズコ属のもの
50,,500,− ダグラスファーその他のトガサワラ属のもの
51,,900,− その他のもの
52,,,その他のもの（熱帯産木材のものに限る。）
53,4403.41,000,ダークレッドメランチ、ライトレッドメランチ及びメランチバカウ
54,4403.42,000,チーク
55,4403.49,,その他のもの
56,,100,− ホワイトラワン、ホワイトメランチ、ホワイトセラヤ、イエローメランチ及びアラン
57,,,− クルイン、ラミン、カプール、ジョンコン、メルバウ、ジェルトン及びケンパス
58,,,−− クルイン又はカプールのもの
59,,211,−−− 粗く角にし又は太鼓落とししたもの
60,,219,−−− その他のもの
61,,,−− その他のもの
62,,292,−−− ラミンのもの
63,,299,−−− その他のもの
64,,300,− オクメ、オベチェ、サペリ、シポ、アカジョアフリカ、マコレ及びイロコ
65,,600,− その他のもの
66,,,その他のもの
67,4403.91,000,オーク（コナラ属のもの）のもの
68,4403.93,000,ビーチ（ブナ属のもの）のもの（横断面の最小寸法が15センチメートル以上のものに限る。）
69,4403.94,000,ビーチ（ブナ属のもの）のその他のもの
70,4403.95,000,かば（カバノキ属のもの）のもの（横断面の最小寸法が15センチメートル以上のものに限る。）
71,4403.96,000,かば（カバノキ属のもの）のその他のもの
72,4403.97,000,ポプラ又はアスペン（ヤマナラシ属のもの）のもの
73,4403.98,000,ユーカリ（ユーカリ属のもの）のもの
74,4403.99,,その他のもの
75,,100,1 桐のもの（粗く角にし又は太鼓落とししたものを除く。）
76,,,2 その他のもの
77,,910,− 桐のもの
78,,920,− ふたばがき科のもの
79,,990,− その他のもの
80,44.04,,たが材、割つたポール、木製のくい（端をとがらせたものに限るものとし、縦にひいたものを除く。）、木製の棒（つえ、傘の柄、工具の柄その他これらに類する物品の製造に適するもので粗削りしたものに限るものとし、ろくろがけし、曲げ又はその他の加工をしたものを除く。）及びチップウッドその他これに類するもの
81,4404.10,,針葉樹のもの
82,,100,1 たが材、割つたポール及びくい
83,,210,2 木製の棒
84,,290,3 その他のもの
85,4404.20,,針葉樹以外のもの
86,,100,1 たが材、割つたポール及びくい
87,,210,2 木製の棒
88,,290,3 その他のもの
89,44.05,,
90,4405.00,000,木毛及び木粉
91,44.06,,木製の鉄道用又は軌道用の枕木
92,,,染み込ませてないもの
93,4406.11,000,針葉樹のもの
94,4406.12,000,針葉樹以外のもの
95,,,その他のもの
96,4406.91,000,針葉樹のもの
97,4406.92,000,針葉樹以外のもの
98,44.07,,木材（縦にひき若しくは割り、平削りし又は丸剥ぎしたもので、厚さが6ミリメートルを超えるものに限るものとし、かんながけし、やすりがけし又は縦継ぎしたものであるかないかを問わない。）
99,,,針葉樹のもの
100,4407.11,,松（マツ属のもの）のもの
101,,,1 厚さが160ミリメートル以下のもの
102,,110,(1)かんながけし又はやすりがけしたもの
103,,190,(2)その他のもの
104,,,2 その他のもの
105,,910,− かんながけし又はやすりがけしたもの
