,hs_code,suffix,description
0,62.01,,男子用のオーバーコート、カーコート、ケープ、クローク、アノラック（スキージャケットを含む。）、ウインドチーター、ウインドジャケットその他これらに類する製品（第62.03項のものを除く。）
1,6201.20,,羊毛製又は繊獣毛製のもの
2,,100,1 毛皮付きのもの
3,,200,2 その他のもの
4,6201.30,,綿製のもの
5,,100,1 毛皮付きのもの
6,,200,2 その他のもの
7,6201.40,,人造繊維製のもの
8,,100,1 毛皮付きのもの
9,,200,2 その他のもの
10,6201.90,,その他の紡織用繊維製のもの
11,,100,1 毛皮付きのもの
12,,200,2 その他のもの
13,62.02,,女子用のオーバーコート、カーコート、ケープ、クローク、アノラック（スキージャケットを含む。）、ウインドチーター、ウインドジャケットその他これらに類する製品（第62.04項のものを除く。）
14,6202.20,,羊毛製又は繊獣毛製のもの
15,,100,1 毛皮付きのもの
16,,200,2 その他のもの
17,6202.30,,綿製のもの
18,,100,1 毛皮付きのもの
19,,200,2 その他のもの
20,6202.40,,人造繊維製のもの
21,,100,1 毛皮付きのもの
22,,200,2 その他のもの
23,6202.90,,その他の紡織用繊維製のもの
24,,100,1 毛皮付きのもの
25,,200,2 その他のもの
26,62.03,,男子用のスーツ、アンサンブル、ジャケット、ブレザー、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）
27,,,スーツ
28,6203.11,,羊毛製又は繊獣毛製のもの
29,,100,1 毛皮付きのもの
30,,200,2 その他のもの
31,6203.12,,合成繊維製のもの
32,,100,1 毛皮付きのもの
33,,200,2 その他のもの
34,6203.19,,その他の紡織用繊維製のもの
35,,100,1 毛皮付きのもの
36,,200,2 その他のもの
37,,,アンサンブル
38,6203.22,,綿製のもの
39,,100,1 毛皮付きのもの
40,,200,2 その他のもの
41,6203.23,,合成繊維製のもの
42,,100,1 毛皮付きのもの
43,,200,2 その他のもの
44,6203.29,,その他の紡織用繊維製のもの
45,,100,1 毛皮付きのもの
46,,200,2 その他のもの
47,,,ジャケット及びブレザー
48,6203.31,,羊毛製又は繊獣毛製のもの
49,,100,1 毛皮付きのもの
50,,200,2 その他のもの
51,6203.32,,綿製のもの
52,,100,1 毛皮付きのもの
53,,200,2 その他のもの
54,6203.33,,合成繊維製のもの
55,,100,1 毛皮付きのもの
56,,200,2 その他のもの
57,6203.39,,その他の紡織用繊維製のもの
58,,100,1 毛皮付きのもの
59,,,2 その他のもの
60,,210,− 再生繊維又は半合成繊維製のもの
61,,290,− その他のもの
62,,,ズボン、胸当てズボン、半ズボン及びショーツ
63,6203.41,,羊毛製又は繊獣毛製のもの
64,,100,1 毛皮付きのもの
65,,200,2 その他のもの
66,6203.42,,綿製のもの
67,,100,1 毛皮付きのもの
68,,200,2 その他のもの
69,6203.43,,合成繊維製のもの
70,,100,1 毛皮付きのもの
71,,200,2 その他のもの
72,6203.49,,その他の紡織用繊維製のもの
73,,100,1 毛皮付きのもの
74,,,2 その他のもの
75,,210,− 再生繊維又は半合成繊維製のもの
76,,290,− その他のもの
77,62.04,,女子用のスーツ、アンサンブル、ジャケット、ブレザー、ドレス、スカート、キュロットスカート、ズボン、胸当てズボン、半ズボン及びショーツ（水着を除く。）
78,,,スーツ
79,6204.11,,羊毛製又は繊獣毛製のもの
80,,100,1 毛皮付きのもの
81,,200,2 その他のもの
82,6204.12,,綿製のもの
83,,100,1 毛皮付きのもの
84,,200,2 その他のもの
85,6204.13,,合成繊維製のもの
86,,100,1 毛皮付きのもの
87,,200,2 その他のもの
88,6204.19,,その他の紡織用繊維製のもの
89,,100,1 毛皮付きのもの
90,,200,2 その他のもの
91,,,アンサンブル
92,6204.21,,羊毛製又は繊獣毛製のもの
93,,100,1 毛皮付きのもの
94,,200,2 その他のもの
95,6204.22,,綿製のもの
96,,100,1 毛皮付きのもの
97,,200,2 その他のもの
98,6204.23,,合成繊維製のもの
99,,100,1 毛皮付きのもの
100,,200,2 その他のもの
101,6204.29,,その他の紡織用繊維製のもの
102,,100,1 毛皮付きのもの
103,,200,2 その他のもの
104,,,ジャケット及びブレザー
105,6204.31,,羊毛製又は繊獣毛製のもの
106,,100,1 毛皮付きのもの
107,,200,2 その他のもの
108,6204.32,,綿製のもの
109,,100,1 毛皮付きのもの
110,,200,2 その他のもの
111,6204.33,,合成繊維製のもの
112,,100,1 毛皮付きのもの
113,,200,2 その他のもの
114,6204.39,,その他の紡織用繊維製のもの
115,,100,1 毛皮付きのもの
116,,200,2 その他のもの
117,,,ドレス
118,6204.41,,羊毛製又は繊獣毛製のもの
119,,100,1 毛皮付きのもの
120,,200,2 その他のもの
121,6204.42,,綿製のもの
122,,100,1 毛皮付きのもの
123,,200,2 その他のもの
124,6204.43,,合成繊維製のもの
125,,100,1 毛皮付きのもの
126,,200,2 その他のもの
127,6204.44,,再生繊維又は半合成繊維製のもの
128,,100,1 毛皮付きのもの
129,,200,2 その他のもの
130,6204.49,,その他の紡織用繊維製のもの
131,,100,1 毛皮付きのもの
132,,200,2 その他のもの
133,,,スカート及びキュロットスカート
134,6204.51,,羊毛製又は繊獣毛製のもの
135,,100,1 毛皮付きのもの
136,,200,2 その他のもの
137,6204.52,,綿製のもの
138,,100,1 毛皮付きのもの
139,,200,2 その他のもの
140,6204.53,,合成繊維製のもの
141,,100,1 毛皮付きのもの
142,,200,2 その他のもの
143,6204.59,,その他の紡織用繊維製のもの
144,,100,1 毛皮付きのもの
145,,200,2 その他のもの
146,,,ズボン、胸当てズボン、半ズボン及びショーツ
147,6204.61,,羊毛製又は繊獣毛製のもの
148,,100,1 毛皮付きのもの
149,,200,2 その他のもの
150,6204.62,,綿製のもの
151,,100,1 毛皮付きのもの
152,,200,2 その他のもの
153,6204.63,,合成繊維製のもの
154,,100,1 毛皮付きのもの
155,,200,2 その他のもの
156,6204.69,,その他の紡織用繊維製のもの
157,,100,1 毛皮付きのもの
158,,200,2 その他のもの
159,62.05,,男子用のシャツ
160,6205.20,000,綿製のもの
161,6205.30,000,人造繊維製のもの
162,6205.90,,その他の紡織用繊維製のもの
163,,010,− 羊毛製又は繊獣毛製のもの
164,,090,− その他のもの
165,62.06,,女子用のブラウス、シャツ及びシャツブラウス
166,6206.10,,絹（絹のくずを含む。）製のもの
167,,100,1 毛皮付きのもの
168,,,2 その他のもの
169,,210,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ
170,,220,(2)その他のもの
171,6206.20,,羊毛製又は繊獣毛製のもの
172,,100,1 毛皮付きのもの
173,,,2 その他のもの
174,,210,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ
175,,220,(2)その他のもの
176,6206.30,,綿製のもの
177,,100,1 毛皮付きのもの
178,,,2 その他のもの
179,,210,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ
180,,220,(2)その他のもの
181,6206.40,,人造繊維製のもの
182,,100,1 毛皮付きのもの
183,,,2 その他のもの
184,,210,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ
185,,220,(2)その他のもの
186,6206.90,,その他の紡織用繊維製のもの
187,,100,1 毛皮付きのもの
188,,,2 その他のもの
189,,210,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ
190,,220,(2)その他のもの
191,62.07,,男子用のシングレットその他これに類する肌着、パンツ、ズボン下、ブリーフ、ナイトシャツ、パジャマ、バスローブ、ドレッシングガウンその他これらに類する製品
192,,,パンツ、ズボン下及びブリーフ
193,6207.11,000,綿製のもの
194,6207.19,000,その他の紡織用繊維製のもの
195,,,ナイトシャツ及びパジャマ
196,6207.21,000,綿製のもの
197,6207.22,000,人造繊維製のもの
198,6207.29,000,その他の紡織用繊維製のもの
199,,,その他のもの
200,6207.91,,綿製のもの
201,,100,1 毛皮付きのもの
202,,,2 その他のもの
203,,210,(1)シングレットその他これに類する肌着
204,,220,(2)その他のもの
205,6207.99,,その他の紡織用繊維製のもの
206,,100,1 毛皮付きのもの
207,,,2 その他のもの
208,,210,(1)シングレットその他これに類する肌着
209,,220,(2)その他のもの
210,62.08,,女子用のシングレットその他これに類する肌着、スリップ、ペティコート、ブリーフ、パンティ、ナイトドレス、パジャマ、ネグリジェ、バスローブ、ドレッシングガウンその他これらに類する製品
211,,,スリップ及びペティコート
212,6208.11,000,人造繊維製のもの
213,6208.19,000,その他の紡織用繊維製のもの
214,,,ナイトドレス及びパジャマ
215,6208.21,000,綿製のもの
216,6208.22,000,人造繊維製のもの
217,6208.29,000,その他の紡織用繊維製のもの
218,,,その他のもの
219,6208.91,,綿製のもの
220,,100,1 毛皮付きのもの
221,,,2 その他のもの
222,,210,(1)シングレットその他これに類する肌着、ブリーフ及びパンティ
223,,220,(2)その他のもの
224,6208.92,,人造繊維製のもの
225,,100,1 毛皮付きのもの
226,,,2 その他のもの
227,,210,(1)シングレットその他これに類する肌着、ブリーフ及びパンティ
228,,220,(2)その他のもの
229,6208.99,,その他の紡織用繊維製のもの
230,,100,1 毛皮付きのもの
231,,,2 その他のもの
232,,210,(1)シングレットその他これに類する肌着、ブリーフ及びパンティ
233,,220,(2)その他のもの
234,62.09,,乳児用の衣類及び衣類附属品
235,6209.20,,綿製のもの
236,,150,1 手袋、ミトン及びミット並びにパンティストッキング、タイツ、ストッキング、ソックスその他の靴下類
237,,,2 その他のもの
238,,210,(1)毛皮付きのもの
239,,,(2)その他のもの
240,,221,A 附属品
241,,222,B その他のもの
242,6209.30,,合成繊維製のもの
243,,150,1 手袋、ミトン及びミット並びにパンティストッキング、タイツ、ストッキング、ソックスその他の靴下類
244,,,2 その他のもの
245,,210,(1)毛皮付きのもの
246,,,(2)その他のもの
247,,221,A 附属品
248,,222,B その他のもの
249,6209.90,,その他の紡織用繊維製のもの
250,,150,1 手袋、ミトン及びミット並びにパンティストッキング、タイツ、ストッキング、ソックスその他の靴下類
251,,,2 その他のもの
252,,210,(1)毛皮付きのもの
253,,,(2)その他のもの
254,,221,A 附属品
255,,,B その他のもの
256,,291,(a)羊毛製又は繊獣毛製のもの
257,,299,(b)その他のもの
258,62.10,,衣類（第56.02項、第56.03項、第59.03項、第59.06項又は第59.07項の織物類から製品にしたものに限る。）
259,6210.10,,第56.02項又は第56.03項の織物類から成るもの
260,,100,1 毛皮付きのもの
261,,,2 その他のもの
262,,,− 人造繊維製のもの
263,,211,−− ガウン（医療用、介護用その他の衛生管理用に供する種類のものに限る。）
264,,212,−− 防護服（上下一体の全身用の衣類に限る。）
265,,219,−− その他のもの
266,,290,− その他のもの
267,6210.20,,その他の衣類（第62.01項のものと同一種類のものに限る。）
268,,100,1 毛皮付きのもの
269,,200,2 その他のもの
270,6210.30,,その他の衣類（第62.02項のものと同一種類のものに限る。）
271,,100,1 毛皮付きのもの
272,,200,2 その他のもの
273,6210.40,,その他の男子用の衣類
274,,100,1 毛皮付きのもの
275,,200,2 その他のもの
276,6210.50,,その他の女子用の衣類
277,,100,1 毛皮付きのもの
278,,200,2 その他のもの
279,62.11,,トラックスーツ、スキースーツ及び水着並びにその他の衣類
280,,,水着
281,6211.11,000,男子用のもの
282,6211.12,000,女子用のもの
283,6211.20,,スキースーツ
284,,100,1 毛皮付きのもの
285,,,2 その他のもの
286,,310,− 男子用のもの
287,,390,− 女子用のもの
288,,,その他の男子用の衣類
289,6211.32,,綿製のもの
290,,100,1 毛皮付きのもの
291,,200,2 その他のもの
292,6211.33,,人造繊維製のもの
