,hs_code,suffix,description
0,16.01,,
1,1601.00,,ソーセージその他これに類する物品（肉、くず肉、血又は昆虫類から製造したものに限る。）及びこれらの物品をもととした調製食料品
2,,100,1 昆虫類のもの
3,,900,2 その他のもの
4,16.02,,その他の調製をし又は保存に適する処理をした肉、くず肉、血及び昆虫類
5,1602.10,,均質調製品
6,,100,1 昆虫類のもの
7,,900,2 その他のもの
8,1602.20,,動物の肝臓のもの
9,,010,1 牛又は豚のもの
10,,,2 その他のもの
11,,091,− 気密容器入りのもの
12,,099,− その他のもの
13,,,第01.05項の家きんのもの
14,1602.31,,七面鳥のもの
15,,100,1 腸、ぼうこう又は胃の全形のもの及び断片（単に水煮したものに限る。）
16,,,2 その他のもの
17,,210,(1)牛若しくは豚の肉又は牛若しくは豚のくず肉を含有するもの
18,,290,(2)その他のもの
19,1602.32,,鶏（ガルルス・ドメスティクス）のもの
20,,100,1 腸、ぼうこう又は胃の全形のもの及び断片（単に水煮したものに限る。）
21,,,2 その他のもの
22,,210,(1)牛若しくは豚の肉又は牛若しくは豚のくず肉を含有するもの
23,,290,(2)その他のもの
24,1602.39,,その他のもの
25,,100,1 腸、ぼうこう又は胃の全形のもの及び断片（単に水煮したものに限る。）
26,,,2 その他のもの
27,,210,(1)牛若しくは豚の肉又は牛若しくは豚のくず肉を含有するもの
28,,290,(2)その他のもの
29,,,豚のもの
30,1602.41,,もも肉及びこれを分割したもの
31,,,1 ハム及びベーコン（滅菌したものを除く。）、プレスハム（豚の肉又はくず肉及びつなぎから成るものに限る。）並びにその他の調製をし又は保存に適する処理をした物品で豚の肉又はくず肉（1個の重量が10グラム以上のものに限る。）のみから成るもの（調味料、香辛料その他これらに類する物品を加えてあるかないかを問わない。）
32,,011,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの
33,,019,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの
34,,090,2 その他のもの
35,1602.42,,肩肉及びこれを分割したもの
36,,,1 ハム及びベーコン（滅菌したものを除く。）、プレスハム（豚の肉又はくず肉及びつなぎから成るものに限る。）並びにその他の調製をし又は保存に適する処理をした物品で豚の肉又はくず肉（1個の重量が10グラム以上のものに限る。）のみから成るもの（調味料、香辛料その他これらに類する物品を加えてあるかないかを問わない。）
37,,011,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの
38,,019,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの
39,,090,2 その他のもの
40,1602.49,,その他のもの（混合物を含む。）
