,hs_code,suffix,description
0,82.01,,手道具（スペード、ショベル、つるはし、くわ、フォーク及びレーキ並びになた、なたがまその他のおの類、各種の剪定ばさみ並びに農業、園芸又は林業に使用する種類のかま、草切具、刈込みばさみ、くさびその他の道具に限る。）
1,8201.10,000,スペード及びショベル
2,8201.30,000,つるはし、くわ及びレーキ
3,8201.40,000,なた、なたがまその他のおの類
4,8201.50,000,片手剪定ばさみその他これに類する片手ばさみ（家きん切断用のものを含む。）
5,8201.60,000,刈込みばさみ、両手剪定ばさみその他これらに類する両手ばさみ
6,8201.90,000,その他の農業、園芸又は林業に使用する種類の手道具
7,82.02,,のこぎり（種類を問わない。）のブレード（切開き用、溝彫り用又は無歯式ののこぎりのブレードを含む。）及び手のこぎり
8,8202.10,000,手のこぎり
9,8202.20,000,帯のこぎりのブレード
10,,,サーキュラーソーのブレード（切開き用又は溝彫り用ののこぎりのブレードを含む。）
11,8202.31,000,作用する部分に鋼を使用したもの
12,8202.39,000,その他のもの（部分品を含む。）
13,8202.40,000,チェーンソーのブレード
14,,,その他ののこぎりのブレード
15,8202.91,000,ストレートソーのブレード（金属加工用のものに限る。）
16,8202.99,000,その他のもの
17,82.03,,やすり、プライヤー（切断用プライヤーを含む。）、やつとこ、ツィーザー、金属切断用ばさみ、パイプカッター、ボルトクリッパー、せん孔ポンチその他これらに類する手工具
18,8203.10,000,やすりその他これに類する手工具
19,8203.20,000,プライヤー（切断用プライヤーを含む。）、やつとこ、ツィーザーその他これらに類する手工具
20,8203.30,000,金属切断用ばさみその他これに類する手工具
21,8203.40,000,パイプカッター、ボルトクリッパー、せん孔ポンチその他これらに類する手工具
22,82.04,,スパナー及びレンチ（トルクレンチを含み、手回しのものに限るものとし、タップ回しを除く。）並びに互換性スパナーソケット（ハンドル付きであるかないかを問わない。）
23,,,スパナー及びレンチ（手回しのものに限る。）
24,8204.11,000,調節式でないもの
25,8204.12,000,調節式のもの
26,8204.20,000,互換性スパナーソケット（ハンドル付きであるかないかを問わない。）
27,82.05,,手道具及び手工具（ダイヤモンドガラス切りを含むものとし、他の項に該当するものを除く。）、トーチランプ並びに万力、クランプその他これらに類する物品（加工機械又はウォータージェット切断機械の附属品及び部分品を除く。）、金敷き、可搬式鍛冶炉並びにフレーム付きグラインディングホイールで手回し式又は足踏み式のもの
28,8205.10,000,穴あけ用、ねじ切り用又はねじ立て用の工具
29,8205.20,000,ハンマー
30,8205.30,000,かんな、のみ、丸のみその他これらに類する刃工具（木工用のものに限る。）
31,8205.40,000,ねじ回し
32,,,その他の手道具及び手工具（ダイヤモンドガラス切りを含む。）
33,8205.51,000,家庭用のもの
34,8205.59,000,その他のもの
35,8205.60,000,トーチランプ
36,8205.70,000,万力、クランプその他これらに類する物品
37,8205.90,000,その他のもの（この項の二以上の号の製品をセットにしたものを含む。）
38,82.06,,
39,8206.00,000,手道具又は手工具のセット（第82.02項から第82.05項までの二以上の項の製品を小売用のセットにしたものに限る。）
40,82.07,,手工具（動力駆動式であるかないかを問わない。）用又は加工機械用の互換性工具（例えば、プレス、型打ち、押抜き、ねじ立て、ねじ切り、穴あけ、中ぐり、ブローチ削り、フライス削り、切削又はねじの締付けに使用するもの。金属の引抜き用又は押出し用のダイス及び削岩用又は土壌せん孔用の工具を含む。）
41,,,削岩用又は土壌せん孔用の工具
42,8207.13,000,作用する部分にサーメットを使用したもの
43,8207.19,000,その他のもの（部分品を含む。）
