,hs_code,suffix,description
0,84.01,,原子炉、原子炉用核燃料要素（カートリッジ式で未使用のものに限る。）及び同位体分離用機器
1,8401.10,000,原子炉
2,8401.20,000,同位体分離用機器及びその部分品
3,8401.30,000,核燃料要素（カートリッジ式で未使用のものに限る。）
4,8401.40,000,原子炉の部分品
5,84.02,,蒸気発生ボイラー（低圧蒸気も発生することができるセントラルヒーティング用温水ボイラーを除く。）及び過熱水ボイラー
6,,,蒸気発生ボイラー
7,8402.11,000,水管ボイラー（蒸気の発生量が毎時45トンを超えるものに限る。）
8,8402.12,000,水管ボイラー（蒸気の発生量が毎時45トン以下のものに限る。）
9,8402.19,000,その他の蒸気発生ボイラー（組合せボイラーを含む。）
10,8402.20,000,過熱水ボイラー
11,8402.90,000,部分品
12,84.03,,セントラルヒーティング用ボイラー（第84.02項のものを除く。）
13,8403.10,000,ボイラー
14,8403.90,000,部分品
15,84.04,,補助機器（第84.02項又は第84.03項のボイラー用のものに限る。例えば、エコノマイザー、過熱器、すす除去器及びガス回収器）及び蒸気原動機用復水器
16,8404.10,000,補助機器（第84.02項又は第84.03項のボイラー用のものに限る。）
17,8404.20,000,蒸気原動機用復水器
18,8404.90,000,部分品
19,84.05,,発生炉ガス発生機、水性ガス発生機及びアセチレンガス発生機その他これに類する湿式ガス発生機（清浄機を有するか有しないかを問わない。）
20,8405.10,000,発生炉ガス発生機、水性ガス発生機及びアセチレンガス発生機その他これに類する湿式ガス発生機（清浄機を有するか有しないかを問わない。）
21,8405.90,000,部分品
22,84.06,,蒸気タービン
23,8406.10,000,タービン（船舶推進用のものに限る。）
24,,,その他のタービン
25,8406.81,000,出力が40メガワットを超えるもの
26,8406.82,000,出力が40メガワット以下のもの
27,8406.90,000,部分品
28,84.07,,ピストン式火花点火内燃機関（往復動機関及びロータリーエンジンに限る。）
29,8407.10,000,航空機用エンジン
30,,,船舶推進用エンジン
31,8407.21,000,船外機
32,8407.29,000,その他のもの
33,,,ピストン式往復動機関（第87類の車両の駆動に使用する種類のものに限る。）
34,8407.31,000,シリンダー容積が50立方センチメートル以下のもの
35,8407.32,000,シリンダー容積が50立方センチメートルを超え250立方センチメートル以下のもの
36,8407.33,000,"シリンダー容積が250立方センチメートルを超え1,000立方センチメートル以下のもの"
37,8407.34,000,"シリンダー容積が1,000立方センチメートルを超えるもの"
38,8407.90,000,その他のエンジン
39,84.08,,ピストン式圧縮点火内燃機関（ディーゼルエンジン及びセミディーゼルエンジン）
40,8408.10,000,船舶推進用エンジン
41,8408.20,000,第87類の車両の駆動に使用する種類のエンジン
42,8408.90,,その他のエンジン
43,,,− 陸用のもの（出力が500馬力以下のものに限る。）及び第84.27項の作業トラックのもの
44,,011,−− 出力が100馬力以下のもの
45,,019,−− 出力が100馬力を超えるもの
46,,,− その他のもの
47,,091,−− 陸用のもの
48,,099,−− その他のもの
49,84.09,,第84.07項又は第84.08項のエンジンに専ら又は主として使用する部分品
50,8409.10,000,航空機用エンジンのもの
51,,,その他のもの
52,8409.91,,ピストン式火花点火内燃機関に専ら又は主として使用するもの
53,,010,− 自動車用のもの
54,,090,− その他のもの
55,8409.99,,その他のもの
56,,010,− 自動車用のもの
57,,090,− その他のもの
58,84.10,,液体タービン及び水車並びにこれらの調速機
59,,,液体タービン及び水車
60,8410.11,000,"出力が1,000キロワット以下のもの"
61,8410.12,000,"出力が1,000キロワットを超え10,000キロワット以下のもの"
62,8410.13,000,"出力が10,000キロワットを超えるもの"
63,8410.90,000,部分品（調速機を含む。）
64,84.11,,ターボジェット、ターボプロペラその他のガスタービン
65,,,ターボジェット
66,8411.11,000,推力が25キロニュートン以下のもの
67,8411.12,000,推力が25キロニュートンを超えるもの
68,,,ターボプロペラ
69,8411.21,000,"出力が1,100キロワット以下のもの"
70,8411.22,000,"出力が1,100キロワットを超えるもの"
71,,,その他のガスタービン
72,8411.81,,"出力が5,000キロワット以下のもの"
73,,010,− 航空機用のもの
74,,090,− その他のもの
75,8411.82,000,"出力が5,000キロワットを超えるもの"
76,,,部分品
77,8411.91,000,ターボジェット又はターボプロペラのもの
78,8411.99,,その他のもの
79,,010,− 航空機用のもの
80,,090,− その他のもの
81,84.12,,その他の原動機
82,8412.10,000,反動エンジン（ターボジェットを除く。）
83,,,液体原動機
84,8412.21,000,直線運動式（シリンダー式）のもの
85,8412.29,000,その他のもの
86,,,気体原動機
87,8412.31,000,直線運動式（シリンダー式）のもの
88,8412.39,000,その他のもの
89,8412.80,000,その他のもの
90,8412.90,,部分品
91,,010,− 液体原動機のもの
92,,,− その他のもの
93,,021,−− 航空機用のもの
94,,029,−− その他のもの
95,84.13,,液体ポンプ（計器付きであるかないかを問わない。）及び液体エレベーター
96,,,ポンプ（計器付きのもの及び計器を取り付けるように設計したものに限る。）
97,8413.11,000,燃料又は潤滑油の供給用ポンプ（給油所又は修理場において使用する種類のものに限る。）
98,8413.19,000,その他のもの
99,8413.20,000,ハンドポンプ（第8413.11号又は第8413.19号の物品を除く。）
100,8413.30,,燃料用、潤滑油用又は冷却媒体用のポンプ（ピストン式内燃機関用のものに限る。）
101,,010,− ギヤポンプ、ベーンポンプ及びスクリューポンプ（油圧ポンプを除く。）
102,,020,− その他のもの
103,8413.40,000,コンクリートポンプ
104,8413.50,,その他の往復容積式ポンプ
105,,010,− 油圧ポンプ
106,,090,− その他のもの
107,8413.60,,その他の回転容積式ポンプ
108,,,− 油圧ポンプ
109,,011,−− かじ取り倍力装置用のもの（ギヤ式又はベーン式のもので第87.03項の乗用自動車用のものに限る。）
110,,019,−− その他のもの
111,,,− その他のもの
112,,091,−− ギヤポンプ、ベーンポンプ及びスクリューポンプ
113,,099,−− その他のもの
114,8413.70,,その他の遠心ポンプ
115,,010,− 渦巻ポンプ
116,,090,− その他のもの
117,,,その他のポンプ及び液体エレベーター
118,8413.81,000,ポンプ
119,8413.82,000,液体エレベーター
120,,,部分品
121,8413.91,000,ポンプのもの
122,8413.92,000,液体エレベーターのもの
123,84.14,,気体ポンプ、真空ポンプ、気体圧縮機及びファン、換気用又は循環用のフード（ファンを自蔵するものに限るものとし、フィルターを取り付けてあるかないかを問わない。）並びに密閉形の生物学的安全キャビネット（フィルターを取り付けてあるかないかを問わない。）
124,8414.10,000,真空ポンプ
125,8414.20,000,手押し式又は足踏み式の気体ポンプ
126,8414.30,,圧縮機（冷蔵用又は冷凍用の機器に使用する種類のものに限る。）
127,,010,"− 重量が1,000キログラム以下のもの（往復式のものを除く。）"
128,,090,− その他のもの
129,8414.40,000,気体圧縮機（けん引用の車輪付きシャシを取り付けたものに限る。）
130,,,ファン
131,8414.51,,卓上用、床用、壁用、窓用、天井用又は屋根用のファン（出力が125ワット以下の電動機を自蔵するものに限る。）
132,,010,− 扇風機（電池内蔵式のものを除く。）
133,,020,− 換気扇（羽根の先端によつて描かれる円の直径が50センチメートル以下のものに限る。）
134,,090,− その他のもの
135,8414.59,,その他のもの
136,,010,− 自動車用排気タービン過給機
137,,,− その他のもの
138,,021,−− ピストン式の圧縮点火内燃機関用排気タービン過給機
139,,029,−− その他のもの
140,8414.60,000,フード（水平面の最大側長が120センチメートル以下のものに限る。）
141,8414.70,000,密閉形の生物学的安全キャビネット
142,8414.80,,その他のもの
143,,,"− 気体圧縮機（重量が1,000キログラム以下のものに限る。）"
144,,011,−− 往復式のもの
145,,019,−− その他のもの
146,,,− その他のもの
147,,091,−− 気体ポンプ
148,,093,−− その他のもの
149,8414.90,,部分品
150,,010,− ファン（第8414.51号のものに限る。）又は自動車用排気タービン過給機のもの
151,,,− その他のもの
152,,091,−− 気体ポンプ、真空ポンプ又は気体圧縮機のもの
153,,099,−− その他のもの
154,84.15,,エアコンディショナー（動力駆動式ファン並びに温度及び湿度を変化させる機構を有するものに限るものとし、湿度のみを単独で調節することができないものを含む。）
155,8415.10,,窓、壁、天井又は床に取り付けるように設計したもの（一体構造のもの又はスプリットシステムのものに限る。）
156,,010,− 定格冷房消費電力が3キロワット以下のもの
157,,090,− その他のもの
158,8415.20,000,自動車に使用する種類のもの（人用のものに限る。）
159,,,その他のもの
160,8415.81,,冷却ユニット及び冷却加熱サイクルの切換え用バルブ（可逆式ヒートポンプ）を自蔵するもの
161,,019,− 定格冷房消費電力が3キロワット以下のもの
162,,090,− その他のもの
163,8415.82,,その他のもの（冷却ユニットを自蔵するものに限る。）
164,,019,− 定格冷房消費電力が3キロワット以下のもの
165,,,− その他のもの
166,,021,−− パッケージ型のもの（圧縮式のものに限る。）
167,,029,−− その他のもの
168,8415.83,,冷却ユニットを自蔵しないもの
169,,091,− 定格冷房消費電力が3キロワット以下のもの
170,,099,− その他のもの
171,8415.90,,部分品
172,,010,− 自動車用のもの
173,,090,− その他のもの
174,84.16,,炉用バーナー（液体燃料用、粉砕した固体燃料用又は気体燃料用のものに限る。）及びメカニカルストーカー（機械式火格子、機械式灰排出機その他これらに類する機械を含む。）
175,8416.10,000,液体燃料用の炉用バーナー
176,8416.20,000,その他の炉用バーナー（複合型バーナーを含む。）
177,8416.30,000,メカニカルストーカー（機械式火格子、機械式灰排出機その他これらに類する機械を含む。）
178,8416.90,000,部分品
179,84.17,,炉（焼却炉を含み、工業用又は理化学用のものに限るものとし、電気炉を除く。）
180,8417.10,000,炉（鉱石又は金属のばい焼用、溶解用その他の熱処理用のものに限る。）
181,8417.20,000,ベーカリーオーブン（ビスケットオーブンを含む。）
182,8417.80,000,その他のもの
183,8417.90,000,部分品
184,84.18,,冷蔵庫、冷凍庫その他の冷蔵用又は冷凍用の機器（電気式であるかないかを問わない。）及びヒートポンプ（第84.15項のエアコンディショナーを除く。）
185,8418.10,000,冷凍冷蔵庫（それぞれ独立した外部扉若しくは引出し又はこれらを組み合わせたものを有するものに限る。）
186,,,家庭用冷蔵庫
187,8418.21,000,圧縮式のもの
188,8418.29,000,その他のもの
189,8418.30,,横置き型冷凍庫（容量が800リットル以下のものに限る。）
190,,010,− 容量が400リットル以下のもの
191,,090,− その他のもの
192,8418.40,000,直立型冷凍庫（容量が900リットル以下のものに限る。）
193,8418.50,,貯蔵及び展示用のその他の備付品（チェスト、キャビネット、展示用のカウンター、ショーケースその他これらに類するもので、冷蔵用又は冷凍用の機器を自蔵するものに限る。）
194,,010,− 容量が800リットル以下のもの（冷凍専用のものにあつては、容量が400リットル以下のものに限る。）
195,,090,− その他のもの
196,,,その他の冷蔵用又は冷凍用の機器及びヒートポンプ
197,8418.61,,ヒートポンプ（第84.15項のエアコンディショナーを除く。）
198,,010,− 重量が100キログラム以下のもの
199,,090,− その他のもの
200,8418.69,,その他のもの
201,,010,− 冷蔵庫及び冷凍庫
202,,020,− アイスクリームフリーザー及び製氷機
203,,,− その他のもの
204,,091,−− 冷蔵用又は冷凍用の機器（重量が100キログラム以下のものに限る。）
205,,099,−− その他のもの
206,,,部分品
207,8418.91,000,冷蔵用又は冷凍用の装置を収納するために設計した容器
208,8418.99,000,その他のもの
209,84.19,,加熱、調理、ばい焼、蒸留、精留、滅菌、殺菌、蒸気加熱、乾燥、蒸発、凝縮、冷却その他の温度変化による方法により材料を処理する機器（理化学用のものを含み、電気加熱式のもの（第85.14項の電気炉及びその他の機器を除く。）であるかないかを問わないものとし、家庭用のものを除く。）並びに瞬間湯沸器及び貯蔵式湯沸器（電気式のものを除く。）
210,,,瞬間湯沸器及び貯蔵式湯沸器（電気式のものを除く。）
211,8419.11,000,瞬間ガス湯沸器
212,8419.12,000,太陽熱温水器
213,8419.19,000,その他のもの
214,8419.20,000,医療用又は理化学用の滅菌器
215,,,乾燥機
216,8419.33,000,凍結乾燥器、凍結乾燥ユニット及び噴霧乾燥器
217,8419.34,000,その他のもの（農産物用のものに限る。）
218,8419.35,000,その他のもの（木材用、紙パルプ用、紙用又は板紙用のものに限る。）
219,8419.39,000,その他のもの
220,8419.40,000,蒸留用又は精留用の機器
221,8419.50,000,熱交換装置
222,8419.60,000,気体液化装置
223,,,その他の機器
224,8419.81,000,ホットドリンク製造用又は食品の調理用若しくは加熱用の機器
225,8419.89,000,その他のもの
226,8419.90,000,部分品
227,84.20,,カレンダーその他のロール機（金属用又はガラス用のものを除く。）及びこれらのシリンダー
228,8420.10,000,カレンダーその他のロール機
229,,,部分品
230,8420.91,000,シリンダー
231,8420.99,000,その他のもの
232,84.21,,遠心分離機（遠心式脱水機を含む。）並びに液体又は気体のろ過機及び清浄機
233,,,遠心分離機（遠心式脱水機を含む。）
234,8421.11,000,クリーム分離機
235,8421.12,000,衣類脱水機
236,8421.19,000,その他のもの
237,,,液体のろ過機及び清浄機
238,8421.21,000,水のろ過用又は清浄用のもの
239,8421.22,000,飲料（水を除く。）のろ過用又は清浄用のもの
240,8421.23,,内燃機関の潤滑油又は燃料油のろ過機
241,,010,− 自動車用のもの
242,,090,− その他のもの
243,8421.29,,その他のもの
244,,010,− 自動車用のもの
245,,090,− その他のもの
246,,,気体のろ過機及び清浄機
247,8421.31,000,内燃機関の吸気用のろ過機
248,8421.32,000,内燃機関から排出された気体の清浄若しくはろ過用の触媒コンバーター又は微粒子捕集フィルター（結合してあるかないかを問わない。）
249,8421.39,,その他のもの
250,,010,− 空気のろ過用又は清浄用のもの（電池式のものを除く。）
251,,090,− その他のもの
252,,,部分品
253,8421.91,000,遠心分離機（遠心式脱水機を含む。）のもの
254,8421.99,,その他のもの
255,,010,− 自動車用のもの
256,,090,− その他のもの
