,hs_code,suffix,description
0,06.01,,りん茎、塊茎、塊根、球茎、冠根及び根茎（休眠し、生長し又は花が付いているものに限る。）並びにチコリー及びその根（第12.12項のものを除く。）
1,0601.10,,りん茎、塊茎、塊根、球茎、冠根及び根茎（休眠しているものに限る。）
2,,010,− ユリ属のもの
3,,020,− チューリップ
4,,090,− その他のもの
5,0601.20,000,りん茎、塊茎、塊根、球茎、冠根及び根茎（生長し又は花が付いているものに限る。）並びにチコリー及びその根
6,06.02,,その他の生きている植物（根を含む。）、挿穂、接ぎ穂及びきのこ菌糸
7,0602.10,000,根を有しない挿穂及び接ぎ穂
8,0602.20,000,樹木及び灌木（食用の果実又はナットのものに限るものとし、接ぎ木してあるかないかを問わない。）
9,0602.30,000,しやくなげ、つつじその他のつつじ属の植物（接ぎ木してあるかないかを問わない。）
10,0602.40,000,ばら（接ぎ木してあるかないかを問わない。）
11,0602.90,,その他のもの
12,,,− きのこ菌糸
13,,011,−− しいたけのもの
14,,019,−− その他のもの
15,,090,− その他のもの
16,06.03,,切花及び花芽（生鮮のもの及び乾燥し、染色し、漂白し、染み込ませ又はその他の加工をしたもので、花束用又は装飾用に適するものに限る。）
17,,,生鮮のもの
18,0603.11,000,ばら
19,0603.12,000,カーネーション
20,0603.13,000,らん
21,0603.14,000,菊
22,0603.15,000,ゆり（リリウム属のもの）
23,0603.19,000,その他のもの
24,0603.90,000,その他のもの
25,06.04,,植物の葉、枝その他の部分（花及び花芽のいずれも有しないものに限る。）、草、こけ及び地衣（生鮮のもの及び乾燥し、染色し、漂白し、染み込ませ又はその他の加工をしたもので、花束用又は装飾用に適するものに限る。）
26,0604.20,000,生鮮のもの
27,0604.90,000,その他のもの
