,hs_code,suffix,description
0,,,第1節  元素
1,28.01,,ふつ素、塩素、臭素及びよう素
2,2801.10,000,塩素
3,2801.20,000,よう素
4,2801.30,000,ふつ素及び臭素
5,28.02,,
6,2802.00,000,昇華硫黄、沈降硫黄及びコロイド硫黄
7,28.03,,
8,2803.00,000,炭素（カーボンブラックその他の形態の炭素で、他の項に該当するものを除く。）
9,28.04,,水素、希ガスその他の非金属元素
10,2804.10,000,水素
11,,,希ガス
12,2804.21,000,アルゴン
13,2804.29,,その他のもの
14,,100,− ヘリウム
15,,200,− その他のもの
16,2804.30,000,窒素
17,2804.40,000,酸素
18,2804.50,000,ほう素及びテルル
19,,,けい素
20,2804.61,,けい素の含有量が全重量の99.99％以上のもの
21,,100,1 単結晶のもの
22,,200,2 その他のもの
23,2804.69,000,その他のもの
24,2804.70,000,りん
25,2804.80,000,砒素
26,2804.90,000,セレン
27,28.05,,アルカリ金属及びアルカリ土類金属並びに希土類金属、スカンジウム及びイットリウム（これらの相互の混合物又は合金にしてあるかないかを問わない。）並びに水銀
28,,,アルカリ金属及びアルカリ土類金属
29,2805.11,000,ナトリウム
30,2805.12,000,カルシウム
31,2805.19,000,その他のもの
32,2805.30,000,希土類金属、スカンジウム及びイットリウム（これらの相互の混合物又は合金にしてあるかないかを問わない。）
33,2805.40,000,水銀
34,,,第2節  無機酸及び無機非金属酸化物
35,28.06,,塩化水素（塩酸）及びクロロ硫酸
36,2806.10,000,塩化水素（塩酸）
37,2806.20,000,クロロ硫酸
38,28.07,,
39,2807.00,000,硫酸及び発煙硫酸
40,28.08,,
41,2808.00,000,硝酸及び硫硝酸
42,28.09,,五酸化二りん、りん酸及びポリりん酸（ポリりん酸については、化学的に単一であるかないかを問わない。）
43,2809.10,000,五酸化二りん
44,2809.20,000,りん酸及びポリりん酸
45,28.10,,
46,2810.00,000,ほう素の酸化物及びほう酸
47,28.11,,その他の無機酸及び無機非金属酸化物
48,,,その他の無機酸
49,2811.11,000,ふつ化水素（ふつ化水素酸）
50,2811.12,000,シアン化水素（シアン化水素酸）
51,2811.19,,その他のもの
52,,100,− 臭化水素（臭化水素酸）
53,,900,− その他のもの
54,,,その他の無機非金属酸化物
55,2811.21,000,二酸化炭素
56,2811.22,000,二酸化けい素
57,2811.29,,その他のもの
58,,,1 四酸化二窒素及び二酸化硫黄
59,,110,− 四酸化二窒素
60,,120,− 二酸化硫黄
61,,900,2 その他のもの
62,,,第3節  非金属のハロゲン化合物及び硫黄化合物
63,28.12,,非金属のハロゲン化物及びハロゲン化酸化物
64,,,塩化物及び塩化酸化物
65,2812.11,000,二塩化カルボニル（ホスゲン）
66,2812.12,000,オキシ塩化りん
67,2812.13,000,三塩化りん
68,2812.14,000,五塩化りん
69,2812.15,000,一塩化硫黄
70,2812.16,000,二塩化硫黄
71,2812.17,000,塩化チオニル
72,2812.19,000,その他のもの
73,2812.90,000,その他のもの
74,28.13,,非金属硫化物及び商慣行上三硫化りんとして取引する物品
75,2813.10,000,二硫化炭素
76,2813.90,000,その他のもの
77,,,第4節  無機塩基並びに金属の酸化物、水酸化物及び過酸化物
78,28.14,,無水アンモニア及びアンモニア水
79,2814.10,000,無水アンモニア
80,2814.20,000,アンモニア水
81,28.15,,水酸化ナトリウム（かせいソーダ）、水酸化カリウム（かせいカリ）及びナトリウム又はカリウムの過酸化物
82,,,水酸化ナトリウム（かせいソーダ）
83,2815.11,000,固体のもの
84,2815.12,000,水溶液のもの（ソーダ液）
85,2815.20,000,水酸化カリウム（かせいカリ）
86,2815.30,000,ナトリウム又はカリウムの過酸化物
87,28.16,,マグネシウムの水酸化物及び過酸化物並びにストロンチウム又はバリウムの酸化物、水酸化物及び過酸化物
88,2816.10,000,マグネシウムの水酸化物及び過酸化物
89,2816.40,000,ストロンチウム又はバリウムの酸化物、水酸化物及び過酸化物
90,28.17,,
91,2817.00,000,酸化亜鉛及び過酸化亜鉛
92,28.18,,人造コランダム（化学的に単一であるかないかを問わない。）、酸化アルミニウム及び水酸化アルミニウム
93,2818.10,,人造コランダム（化学的に単一であるかないかを問わない。）
94,,010,− 粒をそろえたもの
95,,090,− その他のもの
96,2818.20,000,酸化アルミニウム（人造コランダムを除く。）
97,2818.30,000,水酸化アルミニウム
98,28.19,,クロムの酸化物及び水酸化物
99,2819.10,000,三酸化クロム
100,2819.90,000,その他のもの
101,28.20,,マンガンの酸化物
102,2820.10,000,二酸化マンガン
103,2820.90,000,その他のもの
104,28.21,,アースカラーで三酸化二鉄として計算した化合鉄分が全重量の70％以上のもの並びに鉄の酸化物及び水酸化物
105,2821.10,,鉄の酸化物及び水酸化物
106,,010,− 鉄の酸化物
107,,090,− 鉄の水酸化物
108,2821.20,000,アースカラー
109,28.22,,
110,2822.00,,コバルトの酸化物及び水酸化物並びに商慣行上酸化コバルトとして取引する物品
111,,010,− コバルトの酸化物及び商慣行上酸化コバルトとして取引する物品
112,,090,− コバルトの水酸化物
113,28.23,,
114,2823.00,000,チタンの酸化物
115,28.24,,鉛の酸化物、鉛丹及びオレンジ鉛
116,2824.10,000,一酸化鉛（リサージ）
117,2824.90,,その他のもの
118,,100,1 鉛丹及びオレンジ鉛
119,,900,2 その他のもの
120,28.25,,ヒドラジン及びヒドロキシルアミン並びにこれらの無機塩並びにその他の無機塩基、金属酸化物、金属水酸化物及び金属過酸化物
121,2825.10,,ヒドラジン及びヒドロキシルアミン並びにこれらの無機塩
122,,030,1 無水ヒドラジン
123,,,2 その他のもの
124,,050,− ヒドラジン及びその無機塩
125,,090,− ヒドロキシルアミン及びその無機塩
126,2825.20,000,酸化リチウム及び水酸化リチウム
127,2825.30,000,バナジウムの酸化物及び水酸化物
128,2825.40,000,ニッケルの酸化物及び水酸化物
129,2825.50,000,銅の酸化物及び水酸化物
130,2825.60,,ゲルマニウムの酸化物及び二酸化ジルコニウム
131,,100,1 二酸化ゲルマニウム
132,,200,2 その他のもの
133,2825.70,000,モリブデンの酸化物及び水酸化物
134,2825.80,,アンチモンの酸化物
135,,010,− 三酸化アンチモン（課税価格が1キログラムにつき199円未満のものに限る。）
136,,,− その他のもの
137,,021,−− 三酸化アンチモン（課税価格が1キログラムにつき199円以上のものに限る。）
138,,029,−− その他のもの
139,2825.90,,その他のもの
140,,100,1 酸化第一すず及び酸化第二すず
141,,200,2 酸化ベリリウム
142,,900,3 その他のもの
143,,,第5節  無機酸の金属塩及び金属ペルオキシ塩
144,28.26,,ふつ化物及びフルオロけい酸塩、フルオロアルミン酸塩その他のふつ素錯塩
145,,,ふつ化物
146,2826.12,000,アルミニウムのもの
147,2826.19,,その他のもの
148,,010,− アンモニウム又はナトリウムのもの
149,,090,− その他のもの
150,2826.30,000,ヘキサフルオロアルミン酸ナトリウム（人造氷晶石）
151,2826.90,,その他のもの
152,,100,1 ナトリウム又はカリウムのフルオロけい酸塩
153,,,2 その他のもの
154,,910,− フルオロタンタル酸カリウム
155,,990,− その他のもの
156,28.27,,塩化物、塩化酸化物、塩化水酸化物、臭化物、臭化酸化物、よう化物及びよう化酸化物
157,2827.10,000,塩化アンモニウム
158,2827.20,000,塩化カルシウム
159,,,その他の塩化物
160,2827.31,000,マグネシウムのもの
161,2827.32,000,アルミニウムのもの
162,2827.35,000,ニッケルのもの
163,2827.39,,その他のもの
164,,100,1 亜鉛のもの
165,,,2 その他のもの
166,,910,− 鉄のもの
167,,920,− コバルトのもの
168,,990,− その他のもの
169,,,塩化酸化物及び塩化水酸化物
170,2827.41,000,銅のもの
171,2827.49,,その他のもの
172,,100,1 オキシ塩化ジルコニウム
173,,900,2 その他のもの
174,,,臭化物及び臭化酸化物
175,2827.51,000,ナトリウム又はカリウムの臭化物
176,2827.59,,その他のもの
177,,100,− 臭化アンモニウム
178,,900,− その他のもの
179,2827.60,000,よう化物及びよう化酸化物
180,28.28,,次亜塩素酸塩、商慣行上次亜塩素酸カルシウムとして取引する物品、亜塩素酸塩及び次亜臭素酸塩
181,2828.10,000,商慣行上次亜塩素酸カルシウムとして取引する物品その他カルシウムの次亜塩素酸塩
182,2828.90,000,その他のもの
183,28.29,,塩素酸塩、過塩素酸塩、臭素酸塩、過臭素酸塩、よう素酸塩及び過よう素酸塩
184,,,塩素酸塩
185,2829.11,000,ナトリウムのもの
186,2829.19,000,その他のもの
187,2829.90,,その他のもの
188,,100,− 臭素酸塩
189,,900,− その他のもの
190,28.30,,硫化物及び多硫化物（多硫化物については、化学的に単一であるかないかを問わない。）
191,2830.10,000,ナトリウムの硫化物
192,2830.90,000,その他のもの
193,28.31,,亜二チオン酸塩及びスルホキシル酸塩
194,2831.10,000,ナトリウムのもの
195,2831.90,000,その他のもの
196,28.32,,亜硫酸塩及びチオ硫酸塩
197,2832.10,000,ナトリウムの亜硫酸塩
198,2832.20,000,その他の亜硫酸塩
199,2832.30,000,チオ硫酸塩
200,28.33,,硫酸塩、みようばん及びペルオキソ硫酸塩（過硫酸塩）
201,,,ナトリウムの硫酸塩
202,2833.11,000,硫酸二ナトリウム
203,2833.19,000,その他のもの
204,,,その他の硫酸塩
205,2833.21,000,マグネシウムのもの
206,2833.22,000,アルミニウムのもの
207,2833.24,000,ニッケルのもの
208,2833.25,000,銅のもの
209,2833.27,000,バリウムのもの
210,2833.29,,その他のもの
211,,100,1 亜鉛のもの
212,,900,2 その他のもの
213,2833.30,000,みようばん
214,2833.40,000,ペルオキソ硫酸塩（過硫酸塩）
215,28.34,,亜硝酸塩及び硝酸塩
216,2834.10,000,亜硝酸塩
217,,,硝酸塩
218,2834.21,000,カリウムのもの
219,2834.29,,その他のもの
220,,,1 硝酸カルシウム及び硝酸バリウム
221,,100,−硝酸カルシウム
222,,200,−硝酸バリウム
223,,300,2 その他のもの
224,28.35,,ホスフィン酸塩（次亜りん酸塩）、ホスホン酸塩（亜りん酸塩）、りん酸塩及びポリりん酸塩（ポリりん酸塩については、化学的に単一であるかないかを問わない。）
225,2835.10,000,ホスフィン酸塩（次亜りん酸塩）及びホスホン酸塩（亜りん酸塩）
226,,,りん酸塩
227,2835.22,000,一ナトリウム又は二ナトリウムのもの
228,2835.24,000,カリウムのもの
229,2835.25,000,オルトりん酸水素カルシウム（りん酸二カルシウム）
230,2835.26,000,カルシウムのその他のりん酸塩
231,2835.29,,その他のもの
232,,010,− 三ナトリウムのもの
233,,090,− その他のもの
234,,,ポリりん酸塩
235,2835.31,000,三りん酸ナトリウム（トリポリりん酸ナトリウム）
236,2835.39,000,その他のもの
237,28.36,,炭酸塩、ペルオキソ炭酸塩（過炭酸塩）及び商慣行上炭酸アンモニウムとして取引する物品でカルバミン酸アンモニウムを含有するもの
238,2836.20,,炭酸二ナトリウム
239,,100,1 ソーダ灰
240,,200,2 その他のもの
241,2836.30,000,炭酸水素ナトリウム（重炭酸ナトリウム）
242,2836.40,,カリウムの炭酸塩
243,,010,炭酸二カリウム
244,,090,その他のもの
245,2836.50,000,炭酸カルシウム
246,2836.60,000,炭酸バリウム
247,,,その他のもの
248,2836.91,000,リチウムの炭酸塩
249,2836.92,000,炭酸ストロンチウム
250,2836.99,000,その他のもの
251,28.37,,シアン化物、シアン化酸化物及びシアノ錯塩
252,,,シアン化物及びシアン化酸化物
253,2837.11,000,ナトリウムのもの
254,2837.19,000,その他のもの
255,2837.20,000,シアノ錯塩
256,28.39,,けい酸塩及び商慣行上アルカリ金属のけい酸塩として取引する物品
257,,,ナトリウムのもの
258,2839.11,000,ナトリウムのメタけい酸塩
259,2839.19,000,その他のもの
260,2839.90,,その他のもの
261,,010,− カリウムのもの
262,,090,− その他のもの
263,28.40,,ほう酸塩及びペルオキソほう酸塩（過ほう酸塩）
264,,,四ほう酸二ナトリウム（精製ほう砂）
265,2840.11,000,無水物
266,2840.19,000,その他のもの
267,2840.20,000,その他のほう酸塩
268,2840.30,000,ペルオキソほう酸塩（過ほう酸塩）
269,28.41,,オキソ金属酸塩及びペルオキソ金属酸塩
270,2841.30,000,二クロム酸ナトリウム
271,2841.50,,その他のクロム酸塩及び二クロム酸塩並びにペルオキソクロム酸塩
272,,010,− クロム酸塩（亜鉛又は鉛のものに限る。）
273,,090,− その他のもの
274,,,亜マンガン酸塩、マンガン酸塩及び過マンガン酸塩
275,2841.61,000,過マンガン酸カリウム
276,2841.69,000,その他のもの
277,2841.70,000,モリブデン酸塩
278,2841.80,000,タングステン酸塩（ウォルフラム酸塩）
279,2841.90,,その他のもの
280,,010,− アルミン酸塩
281,,090,− その他のもの
282,28.42,,その他の無機酸塩及びペルオキソ酸塩（アルミノけい酸塩（化学的に単一であるかないかを問わない。）を含むものとし、アジ化物を除く。）
283,2842.10,000,けい酸の複塩及び錯塩（アルミノけい酸塩（化学的に単一であるかないかを問わない。）を含む。）
284,2842.90,,その他のもの
285,,010,− 雷酸塩、シアン酸塩及びチオシアン酸塩
286,,090,− その他のもの
287,,,第6節  その他のもの
288,28.43,,貴金属の無機又は有機の化合物（化学的に単一であるかないかを問わない。）、コロイド状貴金属及び貴金属のアマルガム
289,2843.10,000,コロイド状貴金属
290,,,銀化合物
291,2843.21,000,硝酸銀
292,2843.29,000,その他のもの
293,2843.30,000,金化合物
294,2843.90,000,その他の化合物及びアマルガム
295,28.44,,放射性の元素及び同位元素（核分裂性を有する又は核分裂性物質への転換可能な元素及び同位元素を含む。）並びにこれらの化合物並びにこれらの物品を含有する混合物及び残留物
296,2844.10,000,天然ウラン及びその化合物並びに天然ウラン又はその化合物を含有する合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物
297,2844.20,000,ウラン235を濃縮したウラン及びプルトニウム並びにこれらの化合物並びにウラン235を濃縮したウラン、プルトニウム又はこれらの化合物を含有する合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物
298,2844.30,000,ウラン235を減少させたウラン及びトリウム並びにこれらの化合物並びにウラン235を減少させたウラン、トリウム又はこれらの化合物を含有する合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物
299,,,放射性元素及び放射性同位元素並びにこれらの化合物（第2844.10号のもの、第2844.20号のもの及び第2844.30号のものを除く。）並びにこれらの元素、同位元素又は化合物を含有する合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物並びに放射性残留物
300,2844.41,000,トリチウム及びその化合物並びにトリチウム又はその化合物を含有する合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物
301,2844.42,000,アクチニウム225、アクチニウム227、カリフォルニウム253、キュリウム240、キュリウム241、キュリウム242、キュリウム243、キュリウム244、アインスタイニウム253、アインスタイニウム254、ガドリニウム148、ポロニウム208、ポロニウム209、ポロニウム210、ラジウム223、ウラン230及びウラン232並びにこれらの化合物並びにこれらの元素又は化合物を含有する合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物
302,2844.43,000,その他の放射性元素及び放射性同位元素並びにこれらの化合物並びにこれらの元素、同位元素又は化合物を含有するその他の合金、ディスパーション（サーメットを含む。）、陶磁製品及び混合物
303,2844.44,000,放射性残留物
304,2844.50,000,使用済みの原子炉用核燃料要素（カートリッジ）
305,28.45,,同位元素（第28.44項のものを除く。）及びその無機又は有機の化合物（化学的に単一であるかないかを問わない。）
306,2845.10,000,重水（酸化重水素）
307,2845.20,000,ほう素10を濃縮したほう素及びその化合物
308,2845.30,000,リチウム6を濃縮したリチウム及びその化合物
309,2845.40,000,ヘリウム3
310,2845.90,000,その他のもの
311,28.46,,希土類金属、イットリウム又はスカンジウムの無機又は有機の化合物及びこれらの金属の混合物の無機又は有機の化合物
312,2846.10,,セリウム化合物
313,,010,− 酸化セリウム
314,,090,− その他のもの
315,2846.90,,その他のもの
316,,210,− 酸化イットリウム
317,,220,− 酸化ランタン
318,,290,− その他のもの
319,28.47,,
320,2847.00,000,過酸化水素（尿素により固形化してあるかないかを問わない。）
321,28.49,,炭化物（化学的に単一であるかないかを問わない。）
322,2849.10,000,カルシウムのもの
323,2849.20,,けい素のもの
324,,010,− 粒をそろえたもの
325,,090,− その他のもの
326,2849.90,,その他のもの
327,,010,− 炭化ほう素、炭化ニオブ及び炭化タンタル
328,,090,− その他のもの
329,28.50,,
330,2850.00,000,水素化物、窒化物、アジ化物、けい化物及びほう化物（化学的に単一であるかないかを問わないものとし、第28.49項の炭化物に該当するものを除く。）
331,28.52,,水銀の無機又は有機の化合物（化学的に単一であるかないかを問わないものとし、アマルガムを除く。）
332,2852.10,,化学的に単一のもの
333,,100,1 認証標準物質
334,,,2 無機化合物及びその製品
335,,210,(1)硫酸塩
