,hs_code,suffix,description
0,43.01,,原毛皮（頭部、尾部、足部その他の切片で毛皮業者の使用に適するものを含むものとし、第41.01項から第41.03項までの原皮を除く。）
1,4301.10,000,ミンクのもの（全形のものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）
2,4301.30,000,子羊のもの（アストラカン羊、ブロードテール羊、カラクル羊、ペルシャ羊その他これらに類する羊、インド羊、中国羊、モンゴル羊又はチベット羊の子羊で全形のものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）
3,4301.60,000,きつねのもの（全形のものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）
4,4301.80,,その他の毛皮（全形のものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）
5,,010,− やぎ又はうさぎのもの
6,,090,− その他のもの
7,4301.90,,頭部、尾部、足部その他の切片で毛皮業者の使用に適するもの
8,,220,1 ミンクのもの
9,,,2 その他のもの
10,,210,− うさぎのもの
11,,100,− 子羊又はやぎのもの
12,,300,− その他のもの
13,43.02,,なめし又は仕上げた毛皮（頭部、尾部、足部その他の切片を含み、組み合わせてないもの及び他の材料を加えることなく組み合わせたものに限るものとし、第43.03項のものを除く。）
14,,,全形のもの（組み合わせてないものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）
15,4302.11,000,ミンクのもの
16,4302.19,,その他のもの
17,,011,− 羊、やぎ又はうさぎのもの
18,,020,− きつねのもの
19,,090,− その他のもの
20,4302.20,,頭部、尾部、足部その他の切片で、組み合わせてないもの
21,,010,− 羊、やぎ又はうさぎのもの
22,,090,− その他のもの
23,4302.30,,全形のもの及び切片で、組み合わせたもの
24,,,1 ドロップスキン
25,,014,− 羊、やぎ又はうさぎのもの
26,,013,− ミンクのもの
27,,019,− その他のもの
28,,,2 その他のもの
29,,024,− 羊、やぎ又はうさぎのもの
30,,029,− その他のもの
31,43.03,,衣類、衣類附属品その他の毛皮製品
32,4303.10,,衣類及び衣類附属品
33,,,− 衣類
34,,011,−− 羊又はやぎの毛皮製のもの
35,,012,−− うさぎの毛皮製のもの
36,,013,−− ミンクの毛皮製のもの
37,,014,−− きつねの毛皮製のもの
38,,019,−− その他のもの
39,,,− 衣類附属品
40,,091,−− 羊、やぎ又はうさぎの毛皮製のもの
41,,099,−− その他のもの
42,4303.90,,その他のもの
43,,010,− 羊、やぎ又はうさぎの毛皮製のもの
44,,090,− その他のもの
45,43.04,,
46,4304.00,000,人造毛皮及びその製品
