,hs_code,suffix,description
0,12.01,,大豆（割つてあるかないかを問わない。）
1,1201.10,000,播種用のもの
2,1201.90,,その他のもの
3,,010,− 黄白色系のもの
4,,090,− その他のもの
5,12.02,,落花生（煎つてないものその他の加熱による調理をしてないものに限るものとし、殻を除いてあるかないか又は割つてあるかないかを問わない。）
6,1202.30,,播種用のもの
7,,,"− この号、第1202.41号及び第1202.42号に掲げる落花生について、75,000トンを基準とし、当該年度における国内需要見込数量から国内生産見込数量を控除した数量、国際市況その他の条件を勘案して政令で定める数量（以下この項において「共通の限度数量」という。）以内のもの"
8,,011,−− 殻付きのもの
9,,019,−− 殻を除いたもの（割つてあるかないかを問わない。）
10,,,− その他のもの
11,,091,−− 殻付きのもの
12,,099,−− 殻を除いたもの（割つてあるかないかを問わない。）
13,,,その他のもの
14,1202.41,,殻付きのもの
15,,010,− 採油用のもの（税関の監督の下で採油用の原料として使用するものに限る。）
16,,,− その他のもの
17,,091,−− 共通の限度数量以内のもの
18,,099,−− その他のもの
19,1202.42,,殻を除いたもの（割つてあるかないかを問わない。）
20,,010,− 採油用のもの（税関の監督の下で採油用の原料として使用するものに限る。）
21,,,− その他のもの
22,,091,−− 共通の限度数量以内のもの
23,,099,−− その他のもの
24,12.03,,
25,1203.00,000,コプラ
26,12.04,,
27,1204.00,000,亜麻の種（割つてあるかないかを問わない。）
28,12.05,,菜種（割つてあるかないかを問わない。）
29,1205.10,000,菜種（低エルカ酸のもの）
30,1205.90,000,その他のもの
31,12.06,,
32,1206.00,000,ひまわりの種（割つてあるかないかを問わない。）
33,12.07,,その他の採油用の種及び果実（割つてあるかないかを問わない。）
34,1207.10,000,油やしの実及びパーム核
35,,,綿実
36,1207.21,000,播種用のもの
37,1207.29,000,その他のもの
38,1207.30,000,ひまの種
39,1207.40,000,ごま
40,1207.50,000,マスタードの種
41,1207.60,000,サフラワー（カルタムス・ティンクトリウス）の種
42,1207.70,000,メロンの種
43,,,その他のもの
44,1207.91,000,けしの種
45,1207.99,,その他のもの
46,,010,− 大麻の種
47,,090,− その他のもの
48,12.08,,採油用の種又は果実の粉及びミール（マスタードの粉及びミールを除く。）
49,1208.10,000,大豆のもの
50,1208.90,000,その他のもの
51,12.09,,播種用の種、果実及び胞子
52,1209.10,000,てん菜の種
53,,,飼料用植物の種
54,1209.21,000,ルーサン（アルファルファ）の種
55,1209.22,000,クローバー（トリフォリウム属のもの）の種
56,1209.23,000,フェスクの種
57,1209.24,000,ケンタッキーブルーグラス（ポア・プラテンスィス）の種
58,1209.25,000,ライグラス（ロリウム・ムルティフロルム及びロリウム・ペレネ）の種
59,1209.29,,その他のもの
60,,010,− チモシーの種
61,,090,− その他のもの
62,1209.30,000,園芸用草花の種
63,,,その他のもの
64,1209.91,,野菜の種
65,,010,− 大根の種
66,,090,− その他のもの
67,1209.99,000,その他のもの
68,12.10,,ホップ（生鮮のもの及び乾燥したものに限るものとし、粉砕し、粉状にし又はペレット状にしたものであるかないかを問わない。）及びルプリン
69,1210.10,000,ホップ（粉砕し、粉状にし又はペレット状にしたものを除く。）
70,1210.20,,ホップ（粉砕し、粉状にし又はペレット状にしたものに限る。）及びルプリン
71,,100,− ホップ
72,,200,− ルプリン
73,12.11,,主として香料用、医療用、殺虫用、殺菌用その他これらに類する用途に供する植物及びその部分（種及び果実を含み、生鮮のもの及び冷蔵し、冷凍し又は乾燥したものに限るものとし、切り、砕き又は粉状にしたものであるかないかを問わない。）
74,1211.20,,おたねにんじん
75,,100,1 生鮮のもの及び乾燥したもの
76,,900,2 その他のもの
77,1211.30,000,コカ葉
78,1211.40,000,けしがら
79,1211.50,000,麻黄
80,1211.60,000,アフリカンチェリー（プルヌス・アフリカナ）の樹皮
81,1211.90,,その他のもの
82,,,1 ヤボランジ葉、パチュリ葉、センナ葉、ウワウルシ葉、ホミカ、クベバ、コロシント実、コルヒクム子、トンカ豆、ストロファンツス子、プランタゴプシリウムの種、キナ皮、コンズランゴ皮、カスカラサグラダ、吐根、りんどう属の植物の茎及び根、セネガ根、遠志、甘松香、コロンボ根、海葱、ヤラッパ根、デリス根、インド蛇木根、木香、白及、キューベ根、セメンシナその他のサントニン採取用のもの、沈香、槐花、大黄並びに甘草
83,,120,− 甘草
84,,190,− その他のもの
85,,,2 除虫菊
86,,710,(1) 生鮮のもの及び乾燥したもの
87,,790,(2) その他のもの
88,,600,3 大麻草
89,,,4 その他のもの
90,,,(1) 茎、樹皮及び根並びにこの類の備考１の物品（乾燥したものに限るものとし、粉状にしたものを除く。）
91,,931,− この類の備考１の物品
92,,939,− その他のもの
93,,,(2) その他のもの
94,,991,A びやくだん
95,,992,B はとむぎ
96,,999,C その他のもの
97,12.12,,海草その他の藻類、ローカストビーン、てん菜及びさとうきび（生鮮のもの及び冷蔵し、冷凍し又は乾燥したものに限るものとし、粉砕してあるかないかを問わない。）並びに主として食用に供する果実の核及び仁その他の植物性生産品（チコリー（キコリウム・インテュブス変種サティヴム）の根で煎つてないものを含むものとし、他の項に該当するものを除く。）
98,,,海草その他の藻類
99,1212.21,,食用に適するもの
100,,100,1 長方形（正方形を含む。）の紙状に抄製したもので、1枚の面積が430平方センチメートル以下のもの
101,,200,2 あまのり属のもの及びこれを交えたもの（この号の1に掲げる物品を除く。）
102,,,3 その他のもの
103,,310,− ひじき（ヒジキア・フスィフォルミス）
104,,,− わかめ（ウンダリア・ピンナティフィダ）
105,,321,−− 乾燥したもの
106,,,−− その他のもの
107,,322,−−− 常温保存のもの
108,,329,−−− その他のもの
109,,390,− その他のもの
110,1212.29,,その他のもの
111,,,1 ふのり属、あまのり属、あおのり属、ひとえぐさ属、とろろこんぶ属又はこんぶ属のもの
112,,110,− ふのり属のもの
113,,190,− その他のもの
114,,,2 その他のもの
115,,,− てんぐさその他の寒天製造用の海草
116,,211,−− てんぐさ科のもの
117,,219,−− その他のもの
118,,290,− その他のもの
119,,,その他のもの
120,1212.91,000,てん菜
121,1212.92,000,ローカストビーン（キャロブ）
122,1212.93,000,さとうきび
123,1212.94,000,チコリーの根
