,hs_code,suffix,description
0,50.01,,
1,5001.00,,繭（繰糸に適するものに限る。）
2,,010,− この号に掲げる繭の数量（政令で定めるところにより生糸に換算した数量とする。）及び第5002.00号の2に掲げる生糸の数量を合計した数量について、798トンを基準とし、当該年度における国内需要見込数量から国内生産見込数量を控除した数量、国際市況その他の条件を勘案して政令で定める数量（第5002.00号において「共通の限度数量」という。）以内のもの
3,,090,− その他のもの
4,50.02,,
5,5002.00,,生糸（よつてないものに限る。）
6,,100,1 野蚕のもの
7,,,2 その他のもの
8,,,− 共通の限度数量以内のもの
9,,211,−− 玉糸
10,,,−− その他のもの
11,,215,−−− 繊度が21中のもの
12,,216,−−− 繊度が27中及び28中のもの
13,,217,−−− その他のもの
14,,,− その他のもの
15,,221,−− 玉糸
16,,,−− その他のもの
17,,225,−−− 繊度が21中のもの
18,,226,−−− 繊度が27中及び28中のもの
19,,227,−−− その他のもの
20,50.03,,
21,5003.00,,絹のくず（繰糸に適しない繭、糸くず及び反毛した繊維を含む。）
22,,,− カード及びコームのいずれもしてないもの
23,,012,−− くず繭
24,,019,−− その他のもの
25,,090,− その他のもの
26,50.04,,
27,5004.00,000,絹糸（絹紡糸、絹紡紬糸及び小売用にしたものを除く。）
28,50.05,,
29,5005.00,,絹紡糸及び絹紡紬糸（小売用にしたものを除く。）
30,,010,−  絹紡糸
31,,090,− 絹紡紬糸
32,50.06,,
33,5006.00,,絹糸、絹紡糸及び絹紡紬糸（小売用にしたものに限る。）並びに天然てぐす
34,,010,1 絹糸、絹紡糸及び絹紡紬糸
35,,020,2 天然てぐす
36,50.07,,絹織物
37,5007.10,,絹ノイル織物
38,,010,1 経緯糸のうちいずれか一方が合成繊維又はアセテート繊維のもの
39,,020,2 その他のもの
40,5007.20,,その他の織物（絹又はそのくず（絹ノイルを除く。）の重量が全重量の85％以上のものに限る。）
41,,010,− 経緯糸のうちいずれか一方が合成繊維又はアセテート繊維のもの
42,,,− その他のもの
43,,,−− 他の繊維を交えたもの
44,,021,−−− 毛を交えたもの
45,,029,−−− その他のもの
46,,,−− 他の繊維を交えていないもの
47,,,−−− 幅が45センチメートル以下のもの
48,,,−−−− 先染めのもの
49,,031,−−−−− 紋織りのもの
50,,032,−−−−− かすり糸を使用したもの
51,,033,−−−−− その他のもの
52,,,−−−− その他のもの
53,,034,−−−−− 紋織りのもの
54,,035,−−−−− しぼり加工をしたもの
55,,039,−−−−− その他のもの
56,,,−−− その他のもの
57,,,−−−− 染色したもの
58,,091,−−−−− 紋織りのもの
59,,092,−−−−− その他のもの
60,,,−−−− その他のもの
61,,093,−−−−− 紋織りのもの
62,,094,−−−−− よつてない糸（野蚕のものを除く。）を使用したもの（重量が1平方メートルにつき32.3グラム以上のもの）
63,,095,−−−−− よつてない糸（野蚕のものを除く。）を使用したもの（重量が1平方メートルにつき32.3グラム未満のもの）
64,,099,−−−−− その他のもの
65,5007.90,,その他の織物
66,,010,− 経緯糸のうちいずれか一方が合成繊維又はアセテート繊維のもの
67,,,− その他のもの
68,,091,−− 毛を交えたもの
69,,099,−− その他のもの
