,hs_code,suffix,description
0,19.01,,麦芽エキス並びに穀粉、ひき割り穀物、ミール、でん粉又は麦芽エキスの調製食料品（ココアを含有するものにあつては完全に脱脂したココアとして計算したココアの含有量が全重量の40％未満のものに限るものとし、他の項に該当するものを除く。）及び第04.01項から第04.04項までの物品の調製食料品（ココアを含有するものにあつては完全に脱脂したココアとして計算したココアの含有量が全重量の5％未満のものに限るものとし、他の項に該当するものを除く。）
1,1901.10,,乳幼児用の調製品（小売用にしたものに限る。）
2,,,1 第04.01項から第04.04項までの物品の調製食料品（ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のものに限る。）
3,,,(1)乳脂肪分が全重量の30％以下のもの
4,,111,− その他の乳製品に係る共通の限度数量以内のもの
5,,119,− その他のもの
6,,,(2)その他のもの
7,,121,− その他の乳製品に係る共通の限度数量以内のもの
8,,129,− その他のもの
9,,,2 その他のもの
10,,,(1)第04.01項から第04.04項までの物品の調製食料品
11,,211,A 砂糖を加えたもの
12,,219,B その他のもの
13,,,(2)その他のもの
14,,221,A 砂糖を加えたもの
15,,229,B その他のもの
16,1901.20,,第19.05項のベーカリー製品製造用の混合物及び練り生地
17,,,1 穀粉、ミール又はでん粉の調製食料品（米、小麦、ライ小麦、大麦若しくは裸麦の粉、ひき割りしたもの、ミール若しくはペレット又はでん粉の一以上を含有するもので、これらの物品の含有量の合計が全重量の85％を超えるものに限るものとし、ケーキミックス及び乳幼児用又は食餌療法用のものを除く。）、米菓生地（乳幼児用又は食餌療法用のものを除く。）及び第04.01項から第04.04項までの物品の調製食料品（ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のものに限る。）
18,,,(1)第04.01項から第04.04項までの物品の調製食料品（ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のものに限る。）
19,,,A 乳脂肪分が全重量の30％以下のもの
20,,111,− その他の乳製品に係る共通の限度数量以内のもの
21,,112,− その他のもの
22,,,B その他のもの
23,,116,− その他の乳製品に係る共通の限度数量以内のもの
24,,117,− その他のもの
25,,,(2)米、小麦、ライ小麦、大麦若しくは裸麦の粉、ひき割りしたもの、ミール若しくはペレット又はでん粉の一以上を含有する調製食料品で、これらの物品の含有量の合計が全重量の85％を超えるもの（ケーキミックス及び乳幼児用又は食餌療法用のものを除く。）
26,,,A 米産品、小麦産品（ライ小麦産品を含む。）、大麦産品（裸麦産品を含む。）及びでん粉のうち、米産品が最大の重量を占めるもの
27,,122,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
28,,128,− その他のもの
29,,,B 米産品、小麦産品（ライ小麦産品を含む。）、大麦産品（裸麦産品を含む。）及びでん粉のうち、小麦産品（ライ小麦産品を含む。）が最大の重量を占めるもの
30,,131,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
31,,139,− その他のもの
32,,,C 米産品、小麦産品（ライ小麦産品を含む。）、大麦産品（裸麦産品を含む。）及びでん粉のうち、大麦産品（裸麦産品を含む。）が最大の重量を占めるもの
33,,141,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
34,,149,− その他のもの
35,,,D 米産品、小麦産品（ライ小麦産品を含む。）、大麦産品（裸麦産品を含む。）及びでん粉のうち、でん粉が最大の重量を占めるもの
36,,,(a)小麦でん粉を含有するもの
37,,151,− 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
38,,152,− その他のもの
39,,,(b)その他のもの
40,,,− でん粉等に係る共通の限度数量以内のもの
41,,156,−− 砂糖を加えたもの
42,,157,−− その他のもの
43,,159,− その他のもの
44,,,(3)米菓生地（乳幼児用又は食餌療法用のものを除く。）
45,,162,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
46,,168,− その他のもの
47,,,2 その他のもの
48,,,(1)第04.01項から第04.04項までの物品の調製食料品
49,,211,A 砂糖を加えたもの
50,,219,B その他のもの
51,,,(2)ケーキミックス
52,,222,A 砂糖を加えたもの
53,,,B その他のもの
54,,223,(a)小売用の容器入りにしたもの（容器ともの1個の重量が500グラム以下のものに限る。）
55,,224,(b)その他のもの
56,,,(3)その他のもの
57,,,A 砂糖を加えたもの
58,,,(a)しよ糖の含有量が全重量の15％以下のもの
59,,231,− 米粉調製品
60,,232,− 小麦粉調製品
61,,233,− その他のもの
62,,,(b)その他のもの
63,,234,− 米粉調製品
64,,235,− 小麦粉調製品
65,,239,− その他のもの
66,,,B その他のもの
67,,241,− 小売用の容器入りにしたもの（容器ともの1個の重量が500グラム以下のものに限る。）
68,,,− その他のもの
69,,242,−− 米粉調製品
70,,243,−− 小麦粉調製品
71,,249,−− その他のもの
72,1901.90,,その他のもの
73,,,1 穀粉、ミール又はでん粉の調製食料品（米、小麦、ライ小麦、大麦若しくは裸麦の粉、ひき割りしたもの、ミール若しくはペレット又はでん粉の一以上を含有するもので、これらの物品の含有量の合計が全重量の85％を超えるものに限るものとし、ケーキミックス及び乳幼児用又は食餌療法用のものを除く。）、第04.01項から第04.04項までの物品の調製食料品（ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のものに限るものとし、加圧容器入りにしたホイップドクリームを除く。）及び餅、だんごその他これらに類する米産品（乳幼児用又は食餌療法用のものを除く。）
74,,,(1)第04.01項から第04.04項までの物品の調製食料品（ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のものに限るものとし、加圧容器入りにしたホイップドクリームを除く。）
75,,,A 乳脂肪分が全重量の30％以下のもの
76,,131,− その他の乳製品に係る共通の限度数量以内のもの
77,,132,− その他のもの
78,,,B その他のもの
79,,136,− その他の乳製品に係る共通の限度数量以内のもの
80,,137,− その他のもの
81,,,(2)米、小麦、ライ小麦、大麦若しくは裸麦の粉、ひき割りしたもの、ミール若しくはペレット又はでん粉の一以上を含有する調製食料品で、これらの物品の含有量の合計が全重量の85％を超えるもの（ケーキミックス及び乳幼児用又は食餌療法用のものを除く。）
82,,,A 米産品、小麦産品（ライ小麦産品を含む。）、大麦産品（裸麦産品を含む。）及びでん粉のうち、米産品が最大の重量を占めるもの
83,,142,− 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの
84,,148,− その他のもの
