,hs_code,suffix,description
0,68.01,,
1,6801.00,000,舗装用の石、縁石及び敷石（天然石のものに限るものとし、スレートのものを除く。）
2,68.02,,加工した石碑用又は建築用の石及びその製品（スレートを加工したもの及び第68.01項の物品を除く。）、天然石（スレートを含む。）製のモザイクキューブその他これに類する物品（裏張りしてあるかないかを問わない。）並びに人工的に着色した天然石（スレートを含む。）の粒、細片及び粉
3,6802.10,000,タイル、キューブその他これらに類する物品（長方形（正方形を含む。）であるかないかを問わないものとし、最大の面を1辺が7センチメートル未満の正方形により包含することができるものに限る。）並びに人工的に着色した粒、細片及び粉
4,,,その他の石碑用又は建築用の石及びその製品（単に切り又はのこぎりでひいたもので、表面が平らなものに限る。）
5,6802.21,000,大理石、トラバーチン及びアラバスター
6,6802.23,000,花こう岩
7,6802.29,000,その他の石
8,,,その他のもの
9,6802.91,,大理石、トラバーチン及びアラバスター
10,,,− 大理石
11,,011,−− 板
12,,019,−− その他のもの
13,,090,− その他のもの
14,6802.92,000,その他の石灰質の石
15,6802.93,000,花こう岩
16,6802.99,000,その他の石
17,68.03,,
18,6803.00,000,スレート（加工したものに限る。）、スレート製品及び凝結スレート製品
19,68.04,,ミルストーン、グラインドストーン、グラインディングホイールその他これらに類する物品（粉砕用、研磨用、整形用又は切断用のものに限るものとし、フレーム付きのものを除く。）及び手研ぎ用砥石並びにこれらの部分品で、天然石製、凝結させた天然若しくは人造の研磨材料製又は陶磁製のもの（この項の物品については、他の材料の部分品を有するか有しないかを問わない。）
20,6804.10,,ミルストーン及びグラインドストーン（製粉用、粉砕用又はパルプ用のものに限る。）
21,,010,1 人造研磨材料製のもの
22,,020,2 その他のもの
23,,,その他のミルストーン、グラインドストーン、グラインディングホイールその他これらに類する物品
24,6804.21,000,凝結させた合成又は天然のダイヤモンド製のもの
25,6804.22,,その他の凝結させた研磨材料製のもの及び陶磁製のもの
26,,,1 凝結させた人造研磨材料製のもの
27,,011,− 一般回転研削用砥石（軸付きのものを除くものとし、ビトリファイド法又はレジノイド法により製造されたものに限る。）
28,,019,− その他のもの
29,,020,2 その他のもの
30,6804.23,000,天然石製のもの
31,6804.30,000,手研ぎ用砥石
32,68.05,,粉状又は粒状の天然又は人造の研磨材料を紡織用繊維、紙、板紙その他の材料に付着させた物品（特定の形状に切り、縫い合わせ又はその他の加工をしたものであるかないかを問わない。）
33,6805.10,000,紡織用繊維の織物のみに付着させたもの
34,6805.20,000,紙又は板紙のみに付着させたもの
35,6805.30,000,その他の材料に付着させたもの
36,68.06,,スラグウール、ロックウールその他これらに類する鉱物性ウール及びはく離させたバーミキュライト、エキスパンデッドクレー、フォームスラグその他これらに類する膨脹させた鉱物性材料並びに断熱用、防音用又は吸音用の鉱物性材料の混合物及び製品（第68.11項、第68.12項又は第69類のものを除く。）
37,6806.10,000,スラグウール、ロックウールその他これらに類する鉱物性ウール（これらの相互の混合物を含むものとし、バルク状、シート状又はロール状のものに限る。）
38,6806.20,000,はく離させたバーミキュライト、エキスパンデッドクレー、フォームスラグその他これらに類する膨脹させた鉱物性材料（これらの相互の混合物を含む。）
39,6806.90,000,その他のもの
40,68.07,,アスファルトその他これに類する材料（例えば、石油アスファルト及びコールタールピッチ）の製品
41,6807.10,000,ロール状のもの
42,6807.90,000,その他のもの
43,68.08,,
44,6808.00,000,パネル、ボード、タイル、ブロックその他これらに類する物品（植物性繊維、わら又はかんなくず、ウッドチップ、小片、のこくずその他の木くずをセメント、プラスターその他の鉱物性結合材により凝結させたものに限る。）
45,68.09,,プラスター又はプラスターをもととした材料から成る製品
46,,,ボード、シート、パネル、タイルその他これらに類する製品（装飾してないものに限る。）
47,6809.11,000,紙又は板紙のみを張つたもの及びこれらのみにより補強したもの
48,6809.19,000,その他のもの
49,6809.90,000,その他の製品
50,68.10,,セメント製品、コンクリート製品及び人造石製品（補強してあるかないかを問わない。）
51,,,タイル、敷石、れんがその他これらに類する製品
52,6810.11,000,建築用のブロック及びれんが
53,6810.19,000,その他のもの
54,,,その他の製品
55,6810.91,000,建築用又は土木建設用のプレハブ式の構築材
56,6810.99,000,その他のもの
57,68.11,,石綿セメント製品、セルロースファイバーセメント製品その他これらに類する製品
58,6811.40,000,石綿を含有するもの
59,,,石綿を含有しないもの
60,6811.81,000,波板
61,6811.82,000,その他のシート、パネル、タイルその他これらに類する製品
62,6811.89,000,その他の製品
63,68.12,,石綿繊維（加工したものに限る。）、石綿をもととした混合物及び石綿と炭酸マグネシウムとをもととした混合物並びにこれらの混合物又は石綿の製品（例えば、糸、織物、衣類、帽子、履物及びガスケット。補強してあるかないかを問わないものとし、第68.11項又は第68.13項の物品を除く。）
64,6812.80,000,クロシドライト製のもの
65,,,その他のもの
66,6812.91,000,衣類、衣類附属品、履物及び帽子
67,6812.99,000,その他のもの
68,68.13,,ブレーキ用、クラッチ用その他これらに類する用途に供する摩擦材料及びその製品（例えば、シート、ロール、ストリップ、セグメント、ディスク、ワッシャー及びパッド。取り付けてないもので、石綿その他の鉱物性材料又は繊維素をもととしたものに限るものとし、紡織用繊維その他の材料と組み合わせてあるかないかを問わない。）
69,6813.20,,石綿を含有するもの
70,,100,1 自動車の部分品
71,,900,2 その他のもの
72,,,石綿を含有しないもの
73,6813.81,,ブレーキライニング及びブレーキパッド
74,,100,1 自動車の部分品
75,,900,2 その他のもの
76,6813.89,,その他のもの
77,,100,1 自動車の部分品
78,,900,2 その他のもの
