,hs_code,suffix,description
0,81.01,,タングステン及びその製品（くずを含む。）
1,8101.10,000,粉
2,,,その他のもの
3,8101.94,000,タングステンの塊（単に焼結して得た棒を含む。）
4,8101.96,000,線
5,8101.97,000,くず
6,8101.99,,その他のもの
7,,010,− 棒（単に焼結して得た棒を除く。）、形材、板、シート、ストリップ及びはく
8,,090,− その他のもの
9,81.02,,モリブデン及びその製品（くずを含む。）
10,8102.10,000,粉
11,,,その他のもの
12,8102.94,000,モリブデンの塊（単に焼結して得た棒を含む。）
13,8102.95,000,棒（単に焼結して得た棒を除く。）、形材、板、シート、ストリップ及びはく
14,8102.96,000,線
15,8102.97,000,くず
16,8102.99,000,その他のもの
17,81.03,,タンタル及びその製品（くずを含む。）
18,8103.20,000,タンタルの塊（単に焼結して得た棒を含む。）及び粉
19,8103.30,000,くず
20,,,その他のもの
21,8103.91,000,るつぼ
22,8103.99,,その他のもの
23,,010,1 フレーク
24,,020,2 その他のもの
25,81.04,,マグネシウム及びその製品（くずを含む。）
26,,,マグネシウムの塊
27,8104.11,,マグネシウムの含有量が全重量の99.8％以上のもの
28,,030,− 課税価格が1キログラムにつき670円以下のもの
29,,090,− 課税価格が1キログラムにつき670円を超えるもの
30,8104.19,,その他のもの
31,,030,− 課税価格が1キログラムにつき670円以下のもの
32,,090,− 課税価格が1キログラムにつき670円を超えるもの
33,8104.20,000,くず
34,8104.30,000,大きさをそろえた削りくず及び粒並びに粉
35,8104.90,000,その他のもの
36,81.05,,コバルトのマットその他コバルト製錬の中間生産物並びにコバルト及びその製品（くずを含む。）
37,8105.20,000,コバルトのマットその他コバルト製錬の中間生産物並びにコバルトの塊及び粉
38,8105.30,000,くず
39,8105.90,000,その他のもの
40,81.06,,ビスマス及びその製品（くずを含む。）
41,8106.10,000,ビスマスの含有量が全重量の99.99％を超えるもの
42,8106.90,000,その他のもの
43,81.08,,チタン及びその製品（くずを含む。）
44,8108.20,,チタンの塊及び粉
45,,010,1 チタン・ニオブ合金
46,,090,2 その他のもの
47,8108.30,,くず
48,,010,1 チタン・ニオブ合金
49,,090,2 その他のもの
50,8108.90,,その他のもの
51,,010,1 チタン・ニオブ合金のもの
52,,090,2 その他のもの
53,81.09,,ジルコニウム及びその製品（くずを含む。）
54,,,ジルコニウムの塊及び粉
55,8109.21,000,ハフニウムとジルコニウムの重量比が1未満対500のもの
56,8109.29,000,その他のもの
57,,,くず
58,8109.31,000,ハフニウムとジルコニウムの重量比が1未満対500のもの
59,8109.39,000,その他のもの
60,,,その他のもの
61,8109.91,000,ハフニウムとジルコニウムの重量比が1未満対500のもの
62,8109.99,000,その他のもの
63,81.10,,アンチモン及びその製品（くずを含む。）
64,8110.10,000,アンチモンの塊及び粉
65,8110.20,000,くず
66,8110.90,000,その他のもの
67,81.11,,
68,8111.00,000,マンガン及びその製品（くずを含む。）
69,81.12,,ベリリウム、クロム、ハフニウム、レニウム、タリウム、カドミウム、ゲルマニウム、バナジウム、ガリウム、インジウム及びニオブ（くずを含む。）並びにこれらの製品（くずを含む。）
70,,,ベリリウム
71,8112.12,000,塊及び粉
72,8112.13,000,くず
73,8112.19,000,その他のもの
74,,,クロム
75,8112.21,000,塊及び粉
76,8112.22,000,くず
77,8112.29,000,その他のもの
78,,,ハフニウム
79,8112.31,000,塊、くず及び粉
80,8112.39,000,その他のもの
81,,,レニウム
82,8112.41,000,塊、くず及び粉
83,8112.49,000,その他のもの
84,,,タリウム
85,8112.51,000,塊及び粉
86,8112.52,000,くず
87,8112.59,000,その他のもの
88,,,カドミウム
89,8112.61,000,くず
90,8112.69,,その他のもの
91,,100,1 塊及び粉
92,,900,2 その他のもの
93,,,その他のもの
94,8112.92,,塊、くず及び粉
95,,100,1 インジウムのもの
96,,200,2 バナジウムのもの
97,,,3 その他のもの
98,,910,− ゲルマニウムのもの
99,,990,− その他のもの
100,8112.99,,その他のもの
101,,100,1 ニオブ・チタン合金のもの
102,,200,2 ゲルマニウムのもの
103,,,3 その他のもの
104,,910,− バナジウムのもの
105,,990,− その他のもの
106,81.13,,
107,8113.00,000,サーメット及びその製品（くずを含む。）
