,hs_code,suffix,description
0,74.01,,
1,7401.00,,銅のマット及びセメントカッパー（沈殿銅）
2,,010,− 銅のマット
3,,020,− セメントカッパー（沈殿銅）
4,74.02,,
5,7402.00,,粗銅及び電解精製用陽極銅
6,,010,1 課税価格が1キログラムにつき475円以下のもの
7,,020,2 課税価格が1キログラムにつき475円を超え490円以下のもの
8,,030,3 課税価格が1キログラムにつき490円を超えるもの
9,74.03,,精製銅又は銅合金の塊
10,,,精製銅
11,7403.11,,陰極銅及びその切断片
12,,010,1 課税価格が1キログラムにつき485円以下のもの
13,,020,2 課税価格が1キログラムにつき485円を超え500円以下のもの
14,,030,3 課税価格が1キログラムにつき500円を超えるもの
15,7403.12,,ワイヤバー
16,,010,1 課税価格が1キログラムにつき485円以下のもの
17,,020,2 課税価格が1キログラムにつき485円を超え500円以下のもの
18,,030,3 課税価格が1キログラムにつき500円を超えるもの
19,7403.13,,ビレット
20,,010,1 課税価格が1キログラムにつき485円以下のもの
21,,020,2 課税価格が1キログラムにつき485円を超え500円以下のもの
22,,030,3 課税価格が1キログラムにつき500円を超えるもの
23,7403.19,,その他のもの
24,,,1 課税価格が1キログラムにつき485円以下のもの
25,,011,− 精錬用のもの（銅の含有量が全重量の99.8％以下のものに限る。）
26,,019,− その他のもの
27,,,2 課税価格が1キログラムにつき485円を超え500円以下のもの
28,,021,− 精錬用のもの（銅の含有量が全重量の99.8％以下のものに限る。）
29,,029,− その他のもの
30,,030,3 課税価格が1キログラムにつき500円を超えるもの
31,,,銅合金
32,7403.21,000,銅・亜鉛合金（黄銅）
33,7403.22,,銅・すず合金（青銅）
34,,010,1 課税価格が1キログラムにつき485円以下のもの
35,,020,2 課税価格が1キログラムにつき485円を超え500円以下のもの
36,,030,3 課税価格が1キログラムにつき500円を超えるもの
37,7403.29,,その他の銅合金（第74.05項のマスターアロイを除く。）
38,,,1 課税価格が1キログラムにつき485円以下のもの
39,,011,− 銅・ニッケル合金（白銅）及び銅・ニッケル・亜鉛合金（洋白）
40,,019,− その他のもの
41,,,2 課税価格が1キログラムにつき485円を超え500円以下のもの
42,,021,− 銅・ニッケル合金（白銅）及び銅・ニッケル・亜鉛合金（洋白）
43,,029,− その他のもの
44,,030,3 課税価格が1キログラムにつき500円を超えるもの
45,74.04,,
46,7404.00,,銅のくず
47,,010,− 銅（合金を除く。）のもの
48,,,− 銅合金のもの
49,,091,−− 銅・亜鉛合金（黄銅）又は銅・すず合金（青銅）のもの
50,,099,−− その他のもの
51,74.05,,
52,7405.00,000,銅のマスターアロイ
53,74.06,,銅の粉及びフレーク
54,7406.10,000,粉（薄片状のものを除く。）
55,7406.20,000,粉（薄片状のものに限る。）及びフレーク
56,74.07,,銅の棒及び形材
57,7407.10,,精製銅のもの
58,,010,− 中空で内面に溝をつけたもの
59,,090,− その他のもの
60,,,銅合金のもの
61,7407.21,000,銅・亜鉛合金（黄銅）のもの
62,7407.29,,その他のもの
63,,100,1 銅・ニッケル合金（白銅）又は銅・ニッケル・亜鉛合金（洋白）のもの
64,,,2 その他のもの
65,,910,− 銅・すず合金（青銅）のもの
66,,990,− その他のもの
67,74.08,,銅の線
68,,,精製銅のもの
69,7408.11,000,横断面の最大寸法が6ミリメートルを超えるもの
70,7408.19,000,その他のもの
71,,,銅合金のもの
72,7408.21,000,銅・亜鉛合金（黄銅）のもの
73,7408.22,000,銅・ニッケル合金（白銅）又は銅・ニッケル・亜鉛合金（洋白）のもの
74,7408.29,,その他のもの
75,,010,− 銅・すず合金（青銅）のもの
76,,090,− その他のもの
77,74.09,,銅の板、シート及びストリップ（厚さが0.15ミリメートルを超えるものに限る。）
78,,,精製銅のもの
79,7409.11,000,巻いたもの
80,7409.19,000,その他のもの
81,,,銅・亜鉛合金（黄銅）のもの
82,7409.21,000,巻いたもの
83,7409.29,000,その他のもの
84,,,銅・すず合金（青銅）のもの
85,7409.31,000,巻いたもの
86,7409.39,000,その他のもの
87,7409.40,000,銅・ニッケル合金（白銅）又は銅・ニッケル・亜鉛合金（洋白）のもの
88,7409.90,000,その他の銅合金のもの
89,74.10,,銅のはく（厚さ（補強材の厚さを除く。）が0.15ミリメートル以下のものに限るものとし、印刷してあるかないか又は紙、板紙、プラスチックその他これらに類する補強材により裏張りしてあるかないかを問わない。）
90,,,裏張りしてないもの
91,7410.11,000,精製銅のもの
92,7410.12,000,銅合金のもの
93,,,裏張りしたもの
94,7410.21,000,精製銅のもの
95,7410.22,000,銅合金のもの
96,74.11,,銅製の管
97,7411.10,000,精製銅のもの
98,,,銅合金のもの
99,7411.21,000,銅・亜鉛合金（黄銅）のもの
100,7411.22,000,銅・ニッケル合金（白銅）又は銅・ニッケル・亜鉛合金（洋白）のもの
101,7411.29,000,その他のもの
102,74.12,,銅製の管用継手（例えば、カップリング、エルボー及びスリーブ）
103,7412.10,000,精製銅のもの
104,7412.20,000,銅合金のもの
105,74.13,,
106,7413.00,000,銅製のより線、ケーブル、組ひもその他これらに類する製品（電気絶縁をしたものを除く。）
107,74.15,,銅製のくぎ、びよう、画びよう、またくぎ（第83.05項のものを除く。）その他これらに類する製品（銅製の頭部を有する鉄鋼製のものを含む。）及び銅製のねじ、ボルト、ナット、スクリューフック、リベット、コッター、コッターピン、座金（ばね座金を含む。）その他これらに類する製品
108,7415.10,000,くぎ、びよう、画びよう、またくぎその他これらに類する製品
109,,,その他のもの（ねじを切つたものを除く。）
110,7415.21,000,座金（ばね座金を含む。）
111,7415.29,000,その他のもの
112,,,その他のもの（ねじを切つたものに限る。）
113,7415.33,000,ねじ、ボルト及びナット
114,7415.39,000,その他のもの
115,74.18,,食卓用品、台所用品その他の家庭用品及びその部分品（銅製のものに限る。）、銅製の瓶洗い、ポリッシングパッド、ポリッシンググラブその他これらに類する製品並びに衛生用品及びその部分品（銅製のものに限る。）
116,7418.10,000,食卓用品、台所用品その他の家庭用品及びその部分品並びに瓶洗い、ポリッシングパッド、ポリッシンググラブその他これらに類する製品
117,7418.20,000,衛生用品及びその部分品
118,74.19,,その他の銅製品
119,7419.20,000,鋳造、型打ち又は鍛造をしたもの（更に加工したものを除く。）
120,7419.80,000,その他のもの
