,hs_code,suffix,description
0,09.01,,コーヒー（いつてあるかないか又はカフェインを除いてあるかないかを問わない。）、コーヒー豆の殻及び皮並びにコーヒーを含有するコーヒー代用物（コーヒーの含有量のいかんを問わない。）
1,,,コーヒー（いつたものを除く。）
2,0901.11,000,カフェインを除いてないもの
3,0901.12,000,カフェインを除いたもの
4,,,コーヒー（いつたものに限る。）
5,0901.21,000,カフェインを除いてないもの
6,0901.22,000,カフェインを除いたもの
7,0901.90,,その他のもの
8,,100,1 コーヒー豆の殻及び皮
9,,200,2 コーヒーを含有するコーヒー代用物
10,09.02,,茶（香味を付けてあるかないかを問わない。）
11,0902.10,000,緑茶（発酵していないもので、正味重量が3キログラム以下の直接包装にしたものに限る。）
12,0902.20,,その他の緑茶（発酵していないものに限る。）
13,,100,1 くず（飲用に適するものを除く。）
14,,200,2 その他のもの
15,0902.30,,紅茶及び部分的に発酵した茶（正味重量が3キログラム以下の直接包装にしたものに限る。）
16,,010,− 紅茶
17,,090,− その他のもの
18,0902.40,,その他の紅茶及び部分的に発酵した茶
19,,100,1 くず（飲用に適するものを除く。）
20,,,2 その他のもの
21,,210,(1)紅茶
22,,220,(2)その他のもの
23,09.03,,
24,0903.00,000,マテ
25,09.04,,とうがらし属又はピメンタ属の果実（乾燥し、破砕し又は粉砕したものに限る。）及びこしよう属のペッパー
26,,,ペッパー
27,0904.11,,破砕及び粉砕のいずれもしてないもの
28,,100,1 小売用の容器入りにしたもの
29,,200,2 その他のもの
30,0904.12,,破砕し又は粉砕したもの
31,,100,1 小売用の容器入りにしたもの
32,,200,2 その他のもの
33,,,とうがらし属又はピメンタ属の果実
34,0904.21,,乾燥したもの（破砕及び粉砕のいずれもしてないものに限る。）
35,,100,1 小売用の容器入りにしたもの
36,,200,2 その他のもの
37,0904.22,,破砕し又は粉砕したもの
38,,100,1 小売用の容器入りにしたもの
39,,200,2 その他のもの
40,09.05,,バニラ豆
41,0905.10,000,破砕及び粉砕のいずれもしてないもの
42,0905.20,000,破砕し又は粉砕したもの
43,09.06,,けい皮及びシンナモンツリーの花
44,,,破砕及び粉砕のいずれもしてないもの
45,0906.11,000,けい皮（キナモムム・ゼラニカム・ブルーメ）
46,0906.19,000,その他のもの
47,0906.20,000,破砕し又は粉砕したもの
48,09.07,,丁子（果実、花及び花梗に限る。）
49,0907.10,,破砕及び粉砕のいずれもしてないもの
50,,100,1 小売用の容器入りにしたもの
51,,200,2 その他のもの
52,0907.20,,破砕し又は粉砕したもの
53,,100,1 小売用の容器入りにしたもの
54,,200,2 その他のもの
55,09.08,,肉ずく、肉ずく花及びカルダモン類
56,,,肉ずく
57,0908.11,,破砕及び粉砕のいずれもしてないもの
58,,100,1 小売用の容器入りにしたもの
59,,200,2 その他のもの
60,0908.12,,破砕し又は粉砕したもの
61,,100,1 小売用の容器入りにしたもの
62,,200,2 その他のもの
63,,,肉ずく花
64,0908.21,,破砕及び粉砕のいずれもしてないもの
65,,100,1 小売用の容器入りにしたもの
66,,200,2 その他のもの
67,0908.22,,破砕し又は粉砕したもの
68,,100,1 小売用の容器入りにしたもの
69,,200,2 その他のもの
70,,,カルダモン類
71,0908.31,,破砕及び粉砕のいずれもしてないもの
72,,100,1 小売用の容器入りにしたもの
73,,200,2 その他のもの
74,0908.32,,破砕し又は粉砕したもの
75,,100,1 小売用の容器入りにしたもの
76,,200,2 その他のもの
77,09.09,,アニス、大ういきよう、ういきよう、コリアンダー、クミン又はカラウエイの種及びジュニパーベリー
78,,,コリアンダーの種
79,0909.21,,破砕及び粉砕のいずれもしてないもの
80,,100,1 小売用の容器入りにしたもの
81,,200,2 その他のもの
82,0909.22,,破砕し又は粉砕したもの
83,,100,1 小売用の容器入りにしたもの
84,,200,2 その他のもの
