,hs_code,suffix,description
0,93.01,,軍用の武器（拳銃及び第93.07項の武器を除く。）
1,9301.10,000,火砲（例えば、大砲、曲射砲及び迫撃砲）
2,9301.20,000,ロケット発射装置、火炎放射機、てき弾発射機、魚雷発射管その他これらに類する発射装置
3,9301.90,000,その他のもの
4,93.02,,
5,9302.00,000,けん銃（第93.03項又は第93.04項のものを除く。）
6,93.03,,その他の火器及びこれに類する器具で発射火薬により作動するもの（例えば、スポーツ用の散弾銃及びライフル、口装の火器、ベリー氏式けん銃その他の信号せん光筒発射用に設計した器具、空包用けん銃、ボルト式無痛と殺銃並びに索発射銃）
7,9303.10,000,口装の火器
8,9303.20,000,その他のスポーツ用、狩猟用又は標的射撃用の散弾銃（散弾銃とライフルとを組み合わせたものを含む。）
9,9303.30,000,その他のスポーツ用、狩猟用又は標的射撃用のライフル
10,9303.90,000,その他のもの
11,93.04,,
12,9304.00,000,その他の武器（例えば、スプリング銃、空気銃、ガス銃及びこん棒。第93.07項の物品を除く。）
13,93.05,,第93.01項から第93.04項までの物品の部分品及び附属品
14,9305.10,,けん銃のもの
15,,010,1 軍用の武器のもの
16,,020,2 その他のもの
17,9305.20,000,第93.03項の散弾銃又はライフルのもの
18,,,その他のもの
19,9305.91,000,第93.01項の軍用の武器のもの
20,9305.99,,その他のもの
21,,010,1 革製又はコンポジションレザー製のもの
22,,090,2 その他のもの
23,93.06,,爆弾、手りゆう弾、魚雷、機雷、ミサイルその他これらに類する物品及びこれらの部分品並びに弾薬筒その他の銃砲弾及び発射体並びにこれらの部分品（散弾及びカートリッジワッドを含む。）
24,,,散弾銃用弾薬筒及びその部分品並びに空気銃用小弾丸
25,9306.21,000,弾薬筒
26,9306.29,000,その他のもの
27,9306.30,,その他の弾薬筒及びその部分品
28,,100,1 弾薬筒（びよう打ち工具その他これに類する工具用又はボルト式無痛と殺銃用のものに限る。）及びその部分品
29,,200,2 狩猟用又はスポーツ用のもの
30,,900,3 その他のもの
31,9306.90,000,その他のもの
32,93.07,,
33,9307.00,000,刀、剣、やりその他これらに類する武器並びにこれらの部分品及びさや
