,hs_code,suffix,description
0,07.01,,ばれいしよ（生鮮のもの及び冷蔵したものに限る。）
1,0701.10,000,種ばれいしよ
2,0701.90,000,その他のもの
3,07.02,,
4,0702.00,000,トマト（生鮮のもの及び冷蔵したものに限る。）
5,07.03,,たまねぎ、シャロット、にんにく、リーキその他のねぎ属の野菜（生鮮のもの及び冷蔵したものに限る。）
6,0703.10,,たまねぎ及びシャロット
7,,,1 たまねぎ
8,,011,(1)課税価格が1キログラムにつき67円以下のもの
9,,012,(2)課税価格が1キログラムにつき67円を超え73円70銭以下のもの
10,,013,(3)課税価格が1キログラムにつき73円70銭を超えるもの
11,,020,2 シャロット
12,0703.20,000,にんにく
13,0703.90,,リーキその他のねぎ属のもの
14,,010,− ねぎ
15,,090,− その他のもの
16,07.04,,キャベツ、カリフラワー、コールラビー、ケールその他これらに類するあぶらな属の食用の野菜（生鮮のもの及び冷蔵したものに限る。）
17,0704.10,,カリフラワー及びブロッコリー
18,,010,− カリフラワー
19,,020,− ブロッコリー
20,0704.20,000,芽キャベツ
21,0704.90,,その他のもの
22,,020,− 結球キャベツ
23,,030,− はくさい
24,,090,− その他のもの
25,07.05,,レタス（ラクトゥカ・サティヴァ）及びチコリー（キコリウム属のもの）（生鮮のもの及び冷蔵したものに限る。）
26,,,レタス
27,0705.11,000,結球レタス
28,0705.19,000,その他のもの
29,,,チコリー
30,0705.21,000,ウィットルーフチコリー（キコリウム・インテュブス変種フォリオスム）
31,0705.29,000,その他のもの
32,07.06,,にんじん、かぶ、サラダ用のビート、サルシファイ、セルリアク、大根その他これらに類する食用の根（生鮮のもの及び冷蔵したものに限る。）
33,0706.10,,にんじん及びかぶ
34,,010,−にんじん
35,,020,−かぶ
36,0706.90,,その他のもの
37,,010,− ごぼう
38,,090,− その他のもの
39,07.07,,
40,0707.00,000,きゆうり及びガーキン（生鮮のもの及び冷蔵したものに限る。）
41,07.08,,豆（生鮮のもの及び冷蔵したものに限るものとし、さやを除いてあるかないかを問わない。）
42,0708.10,000,えんどう（ピスム・サティヴム）
43,0708.20,000,ささげ属又はいんげんまめ属の豆
44,0708.90,000,その他の豆
45,07.09,,その他の野菜（生鮮のもの及び冷蔵したものに限る。）
46,0709.20,000,アスパラガス
47,0709.30,000,なす
48,0709.40,000,セルリー（セルリアクを除く。）
49,,,きのこ及びトリフ
50,0709.51,000,きのこ（はらたけ属のもの）
51,0709.52,000,きのこ（やまどりたけ属のもの）
52,0709.53,000,きのこ（あんずたけ属のもの）
53,0709.54,000,しいたけ（レンティヌス・エドデス）
54,0709.55,000,まつたけ（トリコロマ・マツタケ、トリコロマ・マグニヴェラレ、トリコロマ・アナトリクム、トリコロマ・ドゥルキオレンス及びトリコロマ・カリガトゥム）
55,0709.56,000,トリフ（セイヨウショウロ属のもの）
56,0709.59,000,その他のもの
57,0709.60,,とうがらし属又はピメンタ属の果実
58,,010,− ピーマン（厚肉大果種のもの）
59,,090,− その他のもの
60,0709.70,000,ほうれん草、つるな及びやまほうれん草
61,,,その他のもの
62,0709.91,000,アーティチョーク
63,0709.92,000,オリーブ
64,0709.93,000,かぼちや類（ククルビタ属のもの）
65,0709.99,,その他のもの
66,,100,1 スイートコーン
67,,200,2 その他のもの
68,07.10,,冷凍野菜（調理してないもの及び蒸気又は水煮による調理をしたものに限る。）
69,0710.10,000,ばれいしよ
70,,,豆（さやを除いてあるかないかを問わない。）
71,0710.21,000,えんどう（ピスム・サティヴム）
72,0710.22,000,ささげ属又はいんげんまめ属の豆
73,0710.29,,その他のもの
74,,010,− えだ豆
75,,090,− その他のもの
76,0710.30,000,ほうれん草、つるな及びやまほうれん草
77,0710.40,000,スイートコーン
78,0710.80,,その他の野菜
79,,030,1 ごぼう
80,,,2 その他のもの
81,,010,− ブロッコリー
82,,090,− その他のもの
83,0710.90,,野菜を混合したもの
84,,100,1 スイートコーンを主成分とするもの
85,,200,2 その他のもの
86,07.11,,一時的な保存に適する処理をした野菜（そのままの状態では食用に適しないものに限る。）
87,0711.20,000,オリーブ
88,0711.40,000,きゆうり及びガーキン
89,,,きのこ及びトリフ
90,0711.51,000,きのこ（はらたけ属のもの）
91,0711.59,000,その他のもの
92,0711.90,,その他の野菜及び野菜を混合したもの
93,,,1 なす（1個の重量が20グラム以下のものに限る。）、らつきよう及びわらび
94,,012,− なす
95,,013,− らつきよう
96,,019,− わらび
97,,,2 その他のもの
98,,093,(1)ごぼう
99,,,(2)その他のもの
100,,091,− なす
101,,092,− れんこん
102,,094,− ケーパー
103,,099,− その他のもの
104,07.12,,乾燥野菜（全形のもの及び切り、砕き又は粉状にしたものに限るものとし、更に調製したものを除く。）
105,0712.20,000,たまねぎ
106,,,きのこ、きくらげ（きくらげ属のもの）、白きくらげ（白きくらげ属のもの）及びトリフ
107,0712.31,000,きのこ（はらたけ属のもの）
108,0712.32,000,きくらげ（きくらげ属のもの）
109,0712.33,000,白きくらげ（白きくらげ属のもの）
110,0712.34,000,しいたけ（レンティヌス・エドデス）
111,0712.39,000,その他のもの
112,0712.90,,その他の野菜及び野菜を混合したもの
113,,,1 スイートコーン
114,,031,(1)薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
115,,039,(2)その他のもの
116,,,2 その他のもの
117,,050,− ばれいしよ（切つてあるかないかを問わないものとし、更に調製したものを除く。）
118,,,− その他のもの
119,,010,−− たけのこ
120,,,−− その他のもの
121,,020,−−− ぜんまい
122,,040,−−− 大根
123,,060,−−− かんぴよう
124,,090,−−− その他のもの
125,07.13,,乾燥した豆（さやを除いたものに限るものとし、皮を除いてあるかないか又は割つてあるかないかを問わない。）
126,0713.10,,えんどう（ピスム・サティヴム）
127,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
128,,,2 その他のもの
129,,211,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
130,,,(2)その他のもの
131,,221,"− この号の2の(2)に掲げるえんどう、第0713.32号に掲げる小豆、第0713.33号の2の(2)に掲げるいんげん豆、第0713.34号の2の(2)に掲げるバンバラ豆、第0713.35号の2の(2)に掲げるささげ、第0713.39号の2の(2)に掲げるその他のささげ属又はいんげんまめ属の豆、第0713.50号の2の(2)に掲げるそら豆、第0713.60号の2の(2)に掲げるき豆及び第0713.90号の2の(2)に掲げるその他の乾燥した豆について、120,000トンを基準とし、当該年度における国内需要見込数量から国内生産見込数量を控除した数量、国際市況その他の条件を勘案して政令で定める数量（以下この項において「共通の限度数量」という。）以内のもの"
132,,229,− その他のもの
133,0713.20,,ひよこ豆
134,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
135,,020,2 その他のもの
136,,,ささげ属又はいんげんまめ属の豆
137,0713.31,000,緑豆（ヴィグナ・ムンゴ及びヴィグナ・ラジアタ）
138,0713.32,,小豆（ファセオルス・アングラリス又はヴィグナ・アングラリス）
139,,010,− 共通の限度数量以内のもの
140,,090,− その他のもの
141,0713.33,,いんげん豆（ファセオルス・ヴルガリス）
142,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
143,,,2 その他のもの
144,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
145,,,(2)その他のもの
146,,221,− 共通の限度数量以内のもの
147,,229,− その他のもの
148,0713.34,,バンバラ豆（ヴィグナ・スブテルラネア又はヴォアンドゼイア・スブテルラネア）
149,,100,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
150,,,2 その他のもの
151,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
152,,,(2)その他のもの
153,,291,− 共通の限度数量以内のもの
154,,299,− その他のもの
155,0713.35,,ささげ（ヴィグナ・ウングイクラタ）
156,,100,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
157,,,2 その他のもの
158,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
159,,,(2)その他のもの
160,,291,− 共通の限度数量以内のもの
161,,299,− その他のもの
162,0713.39,,その他のもの
163,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
164,,,2 その他のもの
165,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
166,,,(2)その他のもの
167,,,− 共通の限度数量以内のもの
168,,221,−− 竹小豆
169,,226,−− その他のもの
170,,,− その他のもの
171,,222,−− 竹小豆
172,,227,−− その他のもの
173,0713.40,,ひら豆
174,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
175,,020,2 その他のもの
176,0713.50,,そら豆（ヴィキア・ファバ変種マヨル、ヴィキア・ファバ変種エクイナ及びヴィキア・ファバ変種ミノル）
177,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
178,,,2 その他のもの
179,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
180,,,(2)その他のもの
181,,221,− 共通の限度数量以内のもの
182,,229,− その他のもの
183,0713.60,,き豆（カヤヌス・カヤン）
184,,100,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
185,,,2 その他のもの
186,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
187,,,(2)その他のもの
188,,291,− 共通の限度数量以内のもの
189,,299,− その他のもの
190,0713.90,,その他のもの
191,,010,1 薬品処理（例えば、殺菌又は発芽促進のための処理）により専ら播種用に適するようにしたもの
192,,,2 その他のもの
193,,210,(1)播種用のもの（野菜栽培用のものに限る。）である旨が政令で定めるところにより証明されたもの
194,,,(2)その他のもの
195,,221,− 共通の限度数量以内のもの
196,,229,− その他のもの
197,07.14,,カッサバ芋、アロールート、サレップ、菊芋、かんしよその他これらに類するでん粉又はイヌリンを多量に含有する根及び塊茎（生鮮のもの及び冷蔵し、冷凍し又は乾燥したものに限るものとし、切つてあるかないか又はペレット状にしてあるかないかを問わない。）並びにサゴやしの髄
198,0714.10,,カッサバ芋
199,,,1 冷凍したもの
200,,310,− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
201,,390,− その他のもの
202,,,2 その他のもの
203,,,(1)粉又はミールのペレット
204,,110,− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
205,,190,− その他のもの
206,,,(2)その他のもの
207,,210,− 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）
208,,290,− その他のもの
209,0714.20,,かんしよ
210,,100,1 冷凍したもの
211,,200,2 その他のもの
212,0714.30,,ヤム芋（ディオスコレア属のもの）
213,,100,1 冷凍したもの
214,,200,2 その他のもの
215,0714.40,,さといも（コロカシア属のもの）
216,,100,1 冷凍したもの
217,,200,2 その他のもの
218,0714.50,,アメリカさといも（クサントソマ属のもの）
219,,100,1 冷凍したもの
220,,200,2 その他のもの
221,0714.90,,その他のもの
222,,100,1 冷凍したもの
223,,200,2 その他のもの
